site,hostname,ip_address,position,model,serial_number,port_location,vendor,notes,end_of_sale,end_of_support
AZ-Scottsdale-HQ-Corp,,,Module,,AGM142622QX     ,Transceiver(slot:10-port:46),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC141303T4,Transceiver(slot:10-port:47),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVP1830S46G     ,,Unknown,Transceiver(slot:1-port:1),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1843U62K     ,,Unknown,Transceiver(slot:1-port:2),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVP1831S0RA     ,,Unknown,Transceiver(slot:1-port:3),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVP1831S196     ,,Unknown,Transceiver(slot:1-port:5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVP1830S1S1     ,,Unknown,Transceiver(slot:1-port:7),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JFQ202020TT     ,,Unknown,Transceiver(slot:1-port:9),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JFQ2021201P     ,,Unknown,Transceiver(slot:1-port:11),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5LE     ,,Unknown,Transceiver(slot:7-port:1),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5LB     ,,Unknown,Transceiver(slot:7-port:2),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5LC     ,,Unknown,Transceiver(slot:7-port:3),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5LD     ,,Unknown,Transceiver(slot:7-port:4),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5T1     ,,Unknown,Transceiver(slot:7-port:5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U6CT     ,,Unknown,Transceiver(slot:7-port:6),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U6R5     ,,Unknown,Transceiver(slot:7-port:7),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5LU     ,,Unknown,Transceiver(slot:7-port:8),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5LS     ,,Unknown,Transceiver(slot:7-port:9),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5LV     ,,Unknown,Transceiver(slot:7-port:11),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5VJ     ,,Unknown,Transceiver(slot:8-port:1),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5VK     ,,Unknown,Transceiver(slot:8-port:2),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5W5     ,,Unknown,Transceiver(slot:8-port:3),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5W3     ,,Unknown,Transceiver(slot:8-port:4),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5W4     ,,Unknown,Transceiver(slot:8-port:5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5W2     ,,Unknown,Transceiver(slot:8-port:6),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5VN     ,,Unknown,Transceiver(slot:8-port:7),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5VP     ,,Unknown,Transceiver(slot:8-port:8),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5VM     ,,Unknown,Transceiver(slot:8-port:9),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,AVM1842U5WN     ,,Unknown,Transceiver(slot:8-port:11),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130YZX     ,,Unknown,Transceiver(slot:9-port:1),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130Z02     ,,Unknown,Transceiver(slot:9-port:2),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130YZT     ,,Unknown,Transceiver(slot:9-port:3),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,ECL141200Z1     ,,Unknown,Transceiver(slot:9-port:4),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130Z07     ,,Unknown,Transceiver(slot:9-port:5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130ZL3     ,,Unknown,Transceiver(slot:9-port:6),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130RG8     ,,Unknown,Transceiver(slot:9-port:9),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130ZKH     ,,Unknown,Transceiver(slot:9-port:10),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130UZ3     ,,Unknown,Transceiver(slot:9-port:12),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130V7P     ,,Unknown,Transceiver(slot:9-port:13),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130V5F     ,,Unknown,Transceiver(slot:9-port:14),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,FNS20230TY7     ,,Unknown,Transceiver(slot:9-port:15),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,FNS20230TY0     ,,Unknown,Transceiver(slot:9-port:16),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130UYW     ,,Unknown,Transceiver(slot:9-port:17),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130RGR     ,,Unknown,Transceiver(slot:9-port:18),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,ECL141200YJ     ,,Unknown,Transceiver(slot:9-port:19),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,ECL1524016B     ,,Unknown,Transceiver(slot:9-port:20),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130U16     ,,Unknown,Transceiver(slot:9-port:36),,
