Site Name,Site ID,Circuit Purpose,DSR Provider,DSR Provider (Normalized),ARIN Provider,ARIN Provider (Normalized),Match Status,Match Score,Match Reason,DSR Speed,DSR Cost,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
ARO 05,ARO 05 -B,Secondary,Ritter Communications,ritter communications,Ritter Communications,ritter communications,Match,95,Canonical match: Ritter Communications,250.0M x 250.0M,$199.99,69.195.29.6,WAN2,207.66.103.214,YELCOT TELEPHONE COMPANY,69.195.29.6,Ritter Communications
ARO 06,ARO 06,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,99.11.64.81,WAN2 (Provider Match),98.190.16.57,Cox Communications,99.13.6.195,AT&T
ARO 06,ARO 06- B,Secondary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 50.0M,$266.67,72.196.89.121,WAN1 (Provider Match),98.190.16.57,Cox Communications,99.13.6.195,AT&T
AZC 01,AZC 01,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,68.15.189.118,WAN1,68.15.189.118,Cox Communications,166.184.128.160,AT&T
AZF 01,AZF 01,Primary,CenturyLink Fiber Plus ,centurylinkplus,Cox Communications,cox communications,No Match,45,"Low similarity (scores: 36, 45, 36)",500.0M x 500.0M,$529.00,72.166.76.98,WAN1,72.166.76.98,Cox Communications,107.84.140.146,AT&T
AZF 02,AZF 02,Primary,Altice West,altice west,Optimum,optimum,Match,95,Canonical match: Optimum,500.0M x 50.0M,$222.23,NaN,WAN1 (Provider Match),207.192.240.178,Optimum,24.121.190.245,Optimum
AZF 02,AZF 02 -B,Secondary,Lightpath ,lightpath,Optimum,optimum,No Match,36,"Low similarity (scores: 25, 36, 25)",300.0M x 300.0M,$435.00,207.192.240.178,WAN1,207.192.240.178,Optimum,24.121.190.245,Optimum
AZH 01,AZH 01,Primary,Altice West,altice west,Optimum,optimum,Match,95,Canonical match: Optimum,500.0M x 50.0M,$212.77,24.121.227.61,WAN1,24.121.227.61,Optimum,166.184.158.1,AT&T
AZK 01,,Primary,Frontier,frontier,Frontier Communications,frontier communications,Match,100,Special case: frontier <-> frontier communications,1.0G x 1.0G,$1200.00,,WAN1 (Provider Match),104.235.17.254,Frontier Communications,165.171.189.170,Customer Public IP Range at KGM01
AZK 01,AZK 01 -B,Secondary,Allo Communications,allo communications,Frontier Communications,frontier communications,Match,88,"Fuzzy match (scores: 76, 88, 67)",500.0M x 500.0M,$204.00,NaN,WAN1 (Provider Match),104.235.17.254,Frontier Communications,165.171.189.170,Customer Public IP Range at KGM01
AZM 01,AZM 01,Primary,Orbitel Communications,orbitel communications,"Orbitel Communications, LLC",orbitel communications llc,Match,100,"Fuzzy match (scores: 92, 100, 92)",300.0M x 300.0M,$199.95,208.90.178.254,WAN1,208.90.178.254,"Orbitel Communications, LLC",107.84.143.13,AT&T
AZN 02,AZN 02,Primary,EB2-CableOne Cable,eb2-cableone cable,"Cable One, Inc.",cable one inc,Match,95,Canonical match: Cable One,300.0M x 30.0M,$335.00,24.117.65.74,WAN1,24.117.65.74,"Cable One, Inc.",107.84.141.86,AT&T
AZN 03,AZN 03,Primary,Sparklight,sparklight,"Cable One, Inc.",cable one inc,No Match,30,"Low similarity (scores: 26, 30, 26)",300.0M x 30.0M,$248.75,67.60.206.6,WAN1,67.60.206.6,"Cable One, Inc.",166.180.159.139,Verizon
AZN 04,,Primary,AT&T,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,20.0M x 20.0M,$830.78,,WAN1 (Provider Match),12.39.141.194,AT&T,166.128.29.96,AT&T
AZN 05,AZN 05,Primary,TransWorld,transworld,FAIRNET LLC,fairnet llc,No Match,33,"Low similarity (scores: 29, 33, 29)",500.0M x 500.0M,$300.00,69.171.123.138,WAN1,69.171.123.138,FAIRNET LLC,166.253.101.74,Verizon
AZN 06,AZN 06,Primary,Sparklight,sparklight,"Cable One, Inc.",cable one inc,No Match,30,"Low similarity (scores: 26, 30, 26)",300.0M x 30.0M,$224.29,159.118.232.190,WAN1,159.118.232.190,"Cable One, Inc.",166.248.7.248,Verizon
AZP 00,AZP000,Primary,Cox Business/BOI,cox business/boi,,,No Match,0,No WAN1 ARIN data,500.0M x 35.0M,$387.24,174.71.173.226,Unknown,,,,
AZP 01,AZP 01,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,24.250.126.75,WAN1,24.250.126.75,Cox Communications,166.248.10.38,Verizon
AZP 03,AZP 03 -B,Secondary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.190.154.148,WAN1,98.190.154.148,Cox Communications,107.84.130.221,AT&T
AZP 05,AZP 05,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,72.216.209.162,WAN1,72.216.209.162,Cox Communications,162.213.70.10,ZeroOutages
AZP 07,AZP 07,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.186.205.106,WAN1,184.186.205.106,Cox Communications,166.248.10.41,Verizon
AZP 08,AZP 08,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,68.15.185.94,WAN1,68.15.185.94,Cox Communications,166.168.231.182,Verizon
AZP 09,AZP 09,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,24.250.98.131,WAN1,24.250.98.131,Cox Communications,67.40.64.233,CenturyLink
AZP 09,AZP 09- B,Secondary,EB2-Lumen DSL,eb2-lumen,CenturyLink,centurylink,No Match,33,"Low similarity (scores: 30, 33, 30)",100.0M x 10.0M,$128.00,67.40.64.233,WAN2,24.250.98.131,Cox Communications,67.40.64.233,CenturyLink
AZP 10,AZP 10,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.174.224.236,WAN1,98.174.224.236,Cox Communications,166.184.136.164,AT&T
AZP 11,AZP 11,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.172.73.114,WAN1,98.172.73.114,Cox Communications,107.84.135.5,AT&T
AZP 13,AZP 13,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.183.11.229,WAN1,184.183.11.229,Cox Communications,107.84.139.159,AT&T
AZP 14,AZP 14,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,70.175.28.153,WAN1,70.175.28.153,Cox Communications,166.253.101.116,Verizon
AZP 16,AZP 16,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,500.0M x 35.0M,$387.24,184.183.2.94,WAN1 (Provider Match),184.176.152.208,Cox Communications,166.184.137.108,AT&T
AZP 17,AZP 17,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,24.248.0.187,WAN1,24.248.0.187,Cox Communications,166.253.101.78,Verizon
AZP 18,AZP 18,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.181.22.14,WAN1,184.181.22.14,Cox Communications,67.40.67.153,CenturyLink
AZP 18,AZP 18 -B,Secondary,EB2-CenturyLink DSL,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,80.0M x 10.0M,$128.00,67.40.67.153,WAN2,184.181.22.14,Cox Communications,67.40.67.153,CenturyLink
AZP 19,AZP 19,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.190.7.139,WAN1,184.190.7.139,Cox Communications,107.84.142.149,AT&T
AZP 20,AZP 20,Primary,Saddleback Communications,saddleback communications,Saddleback Communications,saddleback communications,Match,95,Canonical match: Saddleback Communications,300.0M x 80.0M,$618.75,208.77.60.230,WAN1,208.77.60.230,Saddleback Communications,166.248.9.22,Verizon
AZP 21,AZP 21,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,100.0M x 20.0M,$220.22,68.14.227.137,WAN1 (Provider Match),98.174.240.157,Cox Communications,67.42.35.212,CenturyLink
AZP 21,AZP 21,Secondary,CenturyLink/Embarq,centurylink/embarq,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,80.0M x 10.0M,$209.99,67.42.35.209,WAN2 (Provider Match),98.174.240.157,Cox Communications,67.42.35.212,CenturyLink
AZP 22,AZP 22,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,70.177.10.244,WAN1,70.177.10.244,Cox Communications,65.103.195.225,"Ocotillo Technologies, Inc."
AZP 22,AZP 22- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,"Ocotillo Technologies, Inc.",ocotillo technologies inc,No Match,40,"Low similarity (scores: 30, 40, 30)",100.0M x 10.0M,$128.00,65.103.195.225,WAN2,70.177.10.244,Cox Communications,65.103.195.225,"Ocotillo Technologies, Inc."
AZP 23,AZP 23,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.172.81.76,WAN1 (Provider Match),72.212.131.138,Cox Communications,166.184.130.171,AT&T
AZP 24,AZP 24,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,72.212.133.26,WAN1,72.212.133.26,Cox Communications,65.103.195.249,CenturyLink
AZP 24,AZP 24 -B,Secondary,EB2-Centurylink DSL,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,100.0M x 10.0M,$128.00,65.103.195.249,WAN2,72.212.133.26,Cox Communications,65.103.195.249,CenturyLink
AZP 25,AZP 25,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.174.253.101,WAN1,98.174.253.101,Cox Communications,166.253.101.52,Verizon
AZP 26,AZP 26,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,70.175.19.222,WAN1,70.175.19.222,Cox Communications,216.161.167.41,CenturyLink
AZP 26,AZP 26- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,100.0M x 10.0M,$128.00,216.161.167.41,WAN2,70.175.19.222,Cox Communications,216.161.167.41,CenturyLink
AZP 27,AZP 27,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,68.14.223.218,WAN1,68.14.223.218,Cox Communications,65.101.24.225,CenturyLink
AZP 27,AZP 27,Secondary,CenturyLink/Qwest,centurylink/qwest,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,40.0M x 20.0M,$119.99,65.101.24.225,WAN2,68.14.223.218,Cox Communications,65.101.24.225,CenturyLink
AZP 28,AZP 28,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,500.0M x 50.0M,$342.23,98.174.246.37,WAN1,98.174.246.37,Cox Communications,63.228.128.81,CenturyLink
AZP 28,AZP 28,Secondary,CenturyLink/Qwest,centurylink/qwest,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,140.0M x 20.0M,$189.99,63.228.128.81,WAN2,98.174.246.37,Cox Communications,63.228.128.81,CenturyLink
AZP 29,AZP 29,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.187.210.108,WAN1,184.187.210.108,Cox Communications,67.40.65.73,CenturyLink
AZP 29,AZP 29- B,Secondary,EB2-Lumen DSL,eb2-lumen,CenturyLink,centurylink,No Match,33,"Low similarity (scores: 30, 33, 30)",140.0M x 20.0M,$151.00,67.40.65.73,WAN2,184.187.210.108,Cox Communications,67.40.65.73,CenturyLink
AZP 30,AZP 30,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,72.215.195.100,WAN1,72.215.195.100,Cox Communications,216.161.167.57,CenturyLink
AZP 30,AZP 30- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,100.0M x 10.0M,$128.00,216.161.167.57,WAN2,72.215.195.100,Cox Communications,216.161.167.57,CenturyLink
AZP 31,AZP 31,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,24.250.117.149,WAN1,24.250.117.149,Cox Communications,192.168.0.151,Private IP
AZP 32,AZP 32,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$217.78,184.187.215.58,WAN1,184.187.215.58,Cox Communications,166.248.10.95,Verizon
AZP 33,AZP 33,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,72.212.138.164,WAN1,72.212.138.164,Cox Communications,166.248.10.139,Verizon
AZP 34,AZP 34,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,70.175.19.221,WAN1,70.175.19.221,Cox Communications,143.105.158.79,"SpaceX Services, Inc."
AZP 35,AZP 35,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.188.109.66,WAN1,184.188.109.66,Cox Communications,166.248.10.35,Verizon
AZP 36,AZP 36,Primary,Wyyerd Fiber,wyyerd,"SpaceX Services, Inc.",spacex services inc,No Match,33,"Low similarity (scores: 16, 33, 16)",2000.0M x 2000.0M,$750.00,NaN,Unknown,38.77.163.7,ZONA COMMUNICATIONS,143.105.158.113,"SpaceX Services, Inc."
AZP 37,AZP 37,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,68.14.208.68,WAN1,68.14.208.68,Cox Communications,65.101.37.57,CenturyLink
AZP 37,AZP 37,Secondary,CenturyLink/Qwest ,centurylink/qwest,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,100.0M x 10.0M,$189.99,65.101.37.57,WAN2,68.14.208.68,Cox Communications,65.101.37.57,CenturyLink
AZP 38,AZP 38,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.190.138.162,WAN1,98.190.138.162,Cox Communications,107.84.131.252,AT&T
AZP 39,AZP 39,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.190.130.72,WAN1,98.190.130.72,Cox Communications,166.184.159.70,AT&T
AZP 41,,Primary,AT&T,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,20.0M x 20.0M,$830.78,,WAN1 (Provider Match),12.111.1.74,AT&T,143.105.158.34,"SpaceX Services, Inc."
AZP 42,AZP 42,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,24.249.183.88,WAN1,24.249.183.88,Cox Communications,166.184.134.60,AT&T
AZP 43,AZP 43,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,24.250.112.162,WAN1,24.250.112.162,Cox Communications,63.226.59.241,"CenturyLink Communications, LLC"
AZP 43,AZP 43,Secondary,CenturyLink ,centurylink,"CenturyLink Communications, LLC",centurylink communications llc,Match,95,Canonical match: CenturyLink,80.0M x 10.0M,$139.99,63.226.59.241,WAN2,24.250.112.162,Cox Communications,63.226.59.241,"CenturyLink Communications, LLC"
AZP 44,AZP 44,Secondary,CenturyLink/Embarq,centurylink/embarq,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,100.0M x 10.0M,$139.99,63.226.63.17,WAN1,63.226.63.17,CenturyLink,166.184.157.36,AT&T
AZP 45,AZP 45,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.188.208.14,WAN1,184.188.208.14,Cox Communications,143.105.158.77,"SpaceX Services, Inc."
AZP 46,AZP 46,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.191.115.174,WAN1 (Provider Match),98.174.202.87,Cox Communications,216.161.165.105,CenturyLink
AZP 46,AZP 46- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,140.0M x 20.0M,$151.00,216.161.165.105,WAN2,98.174.202.87,Cox Communications,216.161.165.105,CenturyLink
