Site Name,Site ID,Circuit Purpose,DSR Provider,DSR Provider (Normalized),ARIN Provider,ARIN Provider (Normalized),Match Status,Match Score,Match Reason,DSR Speed,DSR Cost,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
NCC 06,NCC 06 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,108.252.40.65,WAN2,66.57.131.38,Charter Communications,108.252.40.65,AT&T
NCC 07,NCC 07,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.42.17.126,WAN1,173.42.17.126,Charter Communications,107.210.91.161,AT&T
NCC 07,NCC 07 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,107.210.91.161,WAN2,173.42.17.126,Charter Communications,107.210.91.161,AT&T
NCC 08,NCC 08,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,76.248.76.1,WAN1,76.248.76.1,AT&T,70.60.204.242,Charter Communications
NCC 08,NCC 08 -B,Secondary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,70.60.204.242,WAN2,76.248.76.1,AT&T,70.60.204.242,Charter Communications
NCC 09,NCC 09,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,1000.0M x 50.0M,$355.56,96.10.9.82,WAN1,96.10.9.82,Charter Communications,99.58.164.1,AT&T
NCC 09,NCC 09 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,99.58.164.1,WAN2,96.10.9.82,Charter Communications,99.58.164.1,AT&T
NCC 10,NCC 10,Primary,Spectrum,spectrum,"SPECTRUM CONSULTANTS, INC",spectrum consultants inc,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,24.142.198.110,WAN1,24.142.198.110,"SPECTRUM CONSULTANTS, INC",107.208.172.233,AT&T
NCC 10,NCC 10 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,107.208.172.233,WAN2,24.142.198.110,"SPECTRUM CONSULTANTS, INC",107.208.172.233,AT&T
NCC 11,NCC 11,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.42.50.70,WAN2,107.210.92.89,AT&T,173.42.50.70,Charter Communications
NCC 11,NCC 11 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,107.210.92.89,WAN1,107.210.92.89,AT&T,173.42.50.70,Charter Communications
NCC 13,NCC 13,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.42.50.90,WAN1,173.42.50.90,Charter Communications,74.124.172.46,"North State Telephone, LLC"
NCC 13,NCC 13- B,Secondary,Lumos Networks,lumos networks,"North State Telephone, LLC",north state telephone llc,No Match,38,"Low similarity (scores: 26, 38, 31)",500.0M x 500.0M,$120.00,74.124.172.46,WAN2,173.42.50.90,Charter Communications,74.124.172.46,"North State Telephone, LLC"
NCC 14,NCC 14,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.42.60.10,WAN1,173.42.60.10,Charter Communications,192.168.0.151,Private IP
NCC 15,NCC 15,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,70.62.83.50,WAN2,66.16.228.90,Windstream Communications LLC,70.62.83.50,Charter Communications
NCC 15,NCC 15 -B,Secondary,EB2-Windstream Fiber,eb2-windstream,Windstream Communications LLC,windstream communications llc,Match,100,Special case: windstream <-> windstream communications,1000.0M x 1000.0M,$378.00,66.16.228.90,WAN1,66.16.228.90,Windstream Communications LLC,70.62.83.50,Charter Communications
NCC 16,NCC 16,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,74.218.243.174,WAN1,74.218.243.174,Charter Communications,172.126.121.129,AT&T
NCC 16,NCC 16 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,172.126.121.129,WAN2,74.218.243.174,Charter Communications,172.126.121.129,AT&T
NCC 17,NCC 17,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,70.63.77.82,WAN1,70.63.77.82,Charter Communications,107.200.244.201,AT&T
NCC 17,NCC 17 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,107.200.244.201,WAN2,70.63.77.82,Charter Communications,107.200.244.201,AT&T
NCC 18,NCC 18,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,24.199.211.46,WAN1,24.199.211.46,Charter Communications,192.168.0.151,Private IP
NCC 19,NCC 19,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.42.50.78,WAN1,173.42.50.78,Charter Communications,192.168.2.172,Private IP
NCC 20,NCC 20 -B,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,66.57.129.46,WAN2,107.203.43.57,AT&T,66.57.129.46,Charter Communications
NCC 20,NCC 20,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 200.0M,$165.00,107.203.43.57,WAN1,107.203.43.57,AT&T,66.57.129.46,Charter Communications
NCC 21,NCC 21,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.42.50.74,WAN1,173.42.50.74,Charter Communications,192.168.2.176,Private IP
NCC 23,NCC 23,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.42.94.202,WAN1,173.42.94.202,Charter Communications,107.210.92.49,AT&T
NCC 23,NCC 23 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,107.210.92.49,WAN2,173.42.94.202,Charter Communications,107.210.92.49,AT&T
NCC 24,NCC 24,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,600.0M x 35.0M,$172.23,47.49.183.158,WAN1,47.49.183.158,Charter Communications,70.132.132.41,AT&T
NCC 24,NCC 24 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,70.132.132.41,WAN2,47.49.183.158,Charter Communications,70.132.132.41,AT&T
NCC 25,NCC 25,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,24.199.160.230,WAN1,24.199.160.230,Charter Communications,70.231.63.121,AT&T
NCC 25,NCC 25 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,70.231.63.121,WAN2,24.199.160.230,Charter Communications,70.231.63.121,AT&T
NCC 26,NCC 26,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,23.126.1.41,WAN1,23.126.1.41,AT&T,24.241.144.174,Charter Communications
NCC 27,NCC 27,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,156.19.62.218,WAN1,156.19.62.218,Charter Communications,192.168.2.201,Private IP
NCC 28,NCC 28,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,144.253.15.46,WAN2,107.207.159.185,AT&T,144.253.15.46,Charter Communications
NCC 28,NCC 28 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,107.207.159.185,WAN1,107.207.159.185,AT&T,144.253.15.46,Charter Communications
NCC 30,NCC 30,Primary,Spectrum,spectrum,CARDINAL INNOVATIONS HEALTHCARE SOLUTIONS,cardinal innovations healthcare solutions,No Match,38,"Low similarity (scores: 20, 38, 16)",750.0M x 35.0M,$172.23,96.10.47.50,WAN1,96.10.47.50,CARDINAL INNOVATIONS HEALTHCARE SOLUTIONS,192.168.2.179,Private IP
NCC 33,NCC 33,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,70.62.110.186,WAN1,70.62.110.186,Charter Communications,104.12.18.9,AT&T
NCC 33,NCC 33 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,104.12.18.9,WAN2,70.62.110.186,Charter Communications,104.12.18.9,AT&T
NCC 35,NCC 35,Primary,Altice,altice,Optimum,optimum,Match,95,Canonical match: Optimum,500.0M x 50.0M,$212.77,208.180.149.183,WAN1 (Provider Match),75.110.68.57,Optimum,100.104.231.236,Internet Assigned Numbers Authority
NCC 35,NCC 35 -B,Secondary,Metronet,metronet,Internet Assigned Numbers Authority,internet assigned numbers authority,Possible Match,62,"Low confidence (scores: 23, 62, 28)",300.0M x 300.0M,$129.95,149.154.45.16,Unknown,75.110.68.57,Optimum,100.104.231.236,Internet Assigned Numbers Authority
NCC 36,NCC 36,Primary,Spectrum,spectrum,Private IP,private ip,No Match,40,"Low similarity (scores: 22, 40, 22)",750.0M x 35.0M,$244.45,66.57.79.162,Unknown,192.168.1.2,Private IP,216.210.92.222,Greenlight
NCC 36,NCC 36- B,Secondary,GreenLight,greenlight,Greenlight,greenlight,Match,95,Canonical match: GreenLight,1000.0M x 1000.0M,$109.95,216.210.92.222,WAN2,192.168.1.2,Private IP,216.210.92.222,Greenlight
NCC 37,NCC 37,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,174.108.204.246,WAN1,174.108.204.246,Charter Communications,216.82.18.25,Metronet
NCC 37,NCC 37 -B,Secondary,MetroNet,metronet,Metronet,metronet,Match,95,Canonical match: MetroNet,300.0M x 300.0M,$139.95,216.82.18.25,WAN2,174.108.204.246,Charter Communications,216.82.18.25,Metronet
NCC 38,NCC 38- B,Secondary,VZW Cell,vzw cell,Metronet,metronet,No Match,20,"Low similarity (scores: 12, 20, 12)",1000.0M x 1000.0M,$249.95,195.252.194.188,WAN1,195.252.194.188,Metronet,192.168.0.151,Private IP
NCC 39,NCC 39,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,24.172.12.190,WAN1,24.172.12.190,Charter Communications,23.120.26.113,AT&T
NCC 39,NCC 39 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,23.120.26.113,WAN2,24.172.12.190,Charter Communications,23.120.26.113,AT&T
NCC 40,NCC 40,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,24.172.234.246,WAN1,24.172.234.246,Charter Communications,209.253.208.134,Windstream Communications
NCC 40,NCC 40 -B,Secondary,EB2-Windstream Fiber,eb2-windstream,Windstream Communications,windstream communications,Match,100,Special case: windstream <-> windstream communications,500.0M x 500.0M,$209.00,209.253.208.134,WAN2,24.172.234.246,Charter Communications,209.253.208.134,Windstream Communications
NCC 41,NCC 41,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.42.50.238,WAN1,173.42.50.238,Charter Communications,99.58.164.97,AT&T
NCC 41,NCC 41 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,99.58.164.97,WAN2,173.42.50.238,Charter Communications,99.58.164.97,AT&T
NCC 42,NCC 42,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,100.0M x 20.0M,$90.00,104.13.12.121,WAN1,104.13.12.121,AT&T,24.199.176.230,Charter Communications
NCC 42,NCC 42 -B,Secondary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,24.199.176.230,WAN2,104.13.12.121,AT&T,24.199.176.230,Charter Communications
NCC 43,NCC 43,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,47.49.163.174,WAN2,66.217.75.138,Windstream Communications LLC,47.49.163.174,Charter Communications
NCC 43,NCC 43 -B,Secondary,EB2-Windstream Fiber,eb2-windstream,Windstream Communications LLC,windstream communications llc,Match,100,Special case: windstream <-> windstream communications,500.0M x 500.0M,$209.00,66.217.75.138,WAN1,66.217.75.138,Windstream Communications LLC,47.49.163.174,Charter Communications
NCC 44,NCC 44,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,174.99.171.30,WAN1,174.99.171.30,Charter Communications,192.168.0.151,Private IP
NCC 45,NCC 45,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,600.0M x 35.0M,$172.23,96.10.113.218,WAN1,96.10.113.218,Charter Communications,4.8.162.18,Level 3 Parent
NCC 45,NCC 45- B,Secondary,Brightspeed,brightspeed,Charter Communications,charter communications,No Match,35,"Low similarity (scores: 24, 35, 24)",100.0M x 100.0M,$592.00,NaN,Unknown,96.10.113.218,Charter Communications,4.8.162.18,Level 3 Parent
NCC 46,NCC 46,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,70.63.76.162,WAN2,66.217.80.62,Windstream Communications LLC,70.63.76.162,Charter Communications
NCC 46,NCC 46- B,Secondary,Windstream,windstream,Windstream Communications LLC,windstream communications llc,Match,100,Special case: windstream <-> windstream communications,100.0M x 100.0M,$550.00,66.217.80.62,WAN1,66.217.80.62,Windstream Communications LLC,70.63.76.162,Charter Communications
NCC 47,NCC 47,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,74.219.25.130,WAN1,74.219.25.130,Charter Communications,149.154.24.39,Metronet
NCC 47,NCC 47- B,Secondary,MetroNet,metronet,Metronet,metronet,Match,95,Canonical match: MetroNet,500.0M x 500.0M,$199.95,149.154.24.39,WAN2,74.219.25.130,Charter Communications,149.154.24.39,Metronet
NCC 48,NCC 48 -B,Secondary,VZW Cell,vzw cell,Level 3,level 3,No Match,44,"Low similarity (scores: 40, 44, 27)",300.0M x 300.0M,$931.00,64.158.8.74,WAN1,64.158.8.74,Level 3,192.168.0.152,Private IP
NCC 51,NCC 51,Primary,Altice West,altice west,Optimum,optimum,Match,95,Canonical match: Optimum,300.0M x 50.0M,$106.67,207.192.229.44,WAN1,207.192.229.44,Optimum,143.105.148.211,"SpaceX Services, Inc."
NCC 52,NCC 52,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,173.95.111.214,WAN1,173.95.111.214,Charter Communications,152.117.99.250,Metronet
NCC 52,NCC 52- B,Secondary,Metronet,metronet,Metronet,metronet,Match,95,Canonical match: Metronet,100.0M x 100.0M,$109.95,152.117.99.250,WAN2,173.95.111.214,Charter Communications,152.117.99.250,Metronet
NCC W00,NCC W00,Primary,Spectrum,spectrum,,,No Match,0,No WAN1 ARIN data,750.0M x 35.0M,$244.45,66.57.166.218,Unknown,,,,
NCN 01,NCN 01,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,600.0M x 35.0M,$172.23,24.172.12.22,WAN1,24.172.12.22,Charter Communications,71.37.136.213,CenturyLink
NCN 01,NCN 01- B,Secondary,Brightspeed,brightspeed,CenturyLink,centurylink,No Match,29,"Low similarity (scores: 18, 29, 18)",100.0M x 100.0M,$189.99,71.37.136.213,WAN2,24.172.12.22,Charter Communications,71.37.136.213,CenturyLink
NDG 01,NDG 01,Primary,Midcontinent,midcontinent,Midcontinent Communications,midcontinent communications,Match,100,"Fuzzy match (scores: 62, 100, 62)",500.0M x 50.0M,$165.00,24.220.46.162,WAN1,24.220.46.162,Midcontinent Communications,107.80.185.147,AT&T
NEG 01,NEG 01,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,71.8.217.226,WAN2,206.222.219.64,Cogent Communications,71.8.217.226,Charter Communications
NEG 01,NEG 01- B,Secondary,Allo Communications,allo communications,Cogent Communications,cogent communications,Match,88,"Fuzzy match (scores: 80, 88, 80)",1000.0M x 1000.0M,$227.00,206.222.219.64,WAN1,206.222.219.64,Cogent Communications,71.8.217.226,Charter Communications
NEL 01,NEL 01,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$172.23,76.79.25.54,WAN2,209.50.9.36,Allo Communications LLC,76.79.25.54,Charter Communications
NEL 01,NEL 01- B,Secondary,Allo Communications,allo communications,Allo Communications LLC,allo communications llc,Match,100,"Fuzzy match (scores: 90, 100, 90)",1000.0M x 1000.0M,$223.00,209.50.93.36,WAN1 (Provider Match),209.50.9.36,Allo Communications LLC,76.79.25.54,Charter Communications
NEO 01,NEO 01,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.189.175.66,WAN2,64.64.137.13,Great Plains Communications LLC,184.189.175.66,Cox Communications
NEO 01,NEO 01 -B,Secondary,Great Plains Communications,great plains communications,Great Plains Communications LLC,great plains communications llc,Match,100,"Fuzzy match (scores: 93, 100, 93)",1000.0M x 300.0M,$399.95,64.64.137.13,WAN1,64.64.137.13,Great Plains Communications LLC,184.189.175.66,Cox Communications
NEO 03,NEO 03,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.171.225.242,WAN2,223.165.98.229,Great Plains Communications LLC,98.171.225.242,Cox Communications
NEO 03,NEO 03 -B,Secondary,Great Plains Communications,great plains communications,Great Plains Communications LLC,great plains communications llc,Match,100,"Fuzzy match (scores: 93, 100, 93)",1000.0M x 300.0M,$399.95,223.165.98.229,WAN1,223.165.98.229,Great Plains Communications LLC,98.171.225.242,Cox Communications
NEO 04,NEO 04,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,72.215.216.179,WAN2,24.223.126.167,Great Plains Communications,72.215.216.179,Cox Communications
NEO 04,NEO 04 -B,Secondary,Great Plains Communications,great plains communications,Great Plains Communications,great plains communications,Match,95,Canonical match: Great Plains Communications,1000.0M x 300.0M,$399.95,24.223.126.167,WAN1,24.223.126.167,Great Plains Communications,72.215.216.179,Cox Communications
NEO 05,NEO 05,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.183.225.86,WAN1,184.183.225.86,Cox Communications,65.103.170.121,Malinda Jepsen
NEO 05,NEO 05- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,Malinda Jepsen,malinda jepsen,No Match,34,"Low similarity (scores: 21, 33, 34)",100.0M x 10.0M,$128.00,65.103.170.121,WAN2,184.183.225.86,Cox Communications,65.103.170.121,Malinda Jepsen
NEO 06,NEO 06,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,184.189.166.231,WAN1,184.189.166.231,Cox Communications,65.103.170.65,Diane Allen
NEO 06,NEO 06- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,Diane Allen,diane allen,No Match,38,"Low similarity (scores: 23, 33, 38)",100.0M x 10.0M,$128.00,65.103.170.65,WAN2,184.189.166.231,Cox Communications,65.103.170.65,Diane Allen
NEO 07,NEO 07,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 50.0M,$266.67,98.179.45.43,WAN2,173.240.90.78,Great Plains Communications,98.179.45.43,Cox Communications
NEO 07,NEO 07- B,Secondary,Great Plains Communications,great plains communications,Great Plains Communications,great plains communications,Match,95,Canonical match: Great Plains Communications,100.0M x 100.0M,$199.95,173.240.90.78,WAN1,173.240.90.78,Great Plains Communications,98.179.45.43,Cox Communications
NMA_00,,Primary,Comcast,comcast,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,,,WAN1 (Provider Match),96.64.151.241,Comcast,168.103.98.137,CenturyLink
NMA_00,,Secondary,CenturyLink,centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,100.0M x 10.0M,,,WAN2 (Provider Match),96.64.151.241,Comcast,168.103.98.137,CenturyLink
NMA00,NMA00,Primary,Comcast Workplace,comcast workplace,,,No Match,0,No WAN1 ARIN data,300.0M x 30.0M,$175.56,96.64.151.241,Unknown,,,,
NMA00,NMA00- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,,,No Match,0,No WAN1 ARIN data,100.0M x 10.0M,$128.00,168.103.98.137,Unknown,,,,
NMA 01,NMA 01,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$175.56,50.240.15.89,WAN2,209.71.136.2,Unite Private Networks LLC.,50.240.15.89,Comcast
NMA 01,NMA 01- B,Secondary,Unite Private Networks,unite private networks,Unite Private Networks LLC.,unite private networks llc,Match,100,"Fuzzy match (scores: 92, 100, 92)",300.0M x 300.0M,$699.00,209.71.136.2,WAN1,209.71.136.2,Unite Private Networks LLC.,50.240.15.89,Comcast
NMA 02,NMA 02,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,500.0M x 35.0M,$175.56,50.188.167.53,WAN1,50.188.167.53,Comcast,71.32.110.137,CenturyLink
NMA 03,NMA 03,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,50.77.43.201,WAN1,50.77.43.201,Comcast,192.168.0.151,Private IP
NMA 04,NMA 04,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,500.0M x 30.0M,$175.56,23.31.114.133,WAN1,23.31.114.133,Comcast,209.71.136.98,Unite Private Networks LLC.
NMA 04,NMA 04- B,Secondary,Unite Private Networks,unite private networks,Unite Private Networks LLC.,unite private networks llc,Match,100,"Fuzzy match (scores: 92, 100, 92)",100.0M x 100.0M,$550.00,209.71.136.98,WAN2,23.31.114.133,Comcast,209.71.136.98,Unite Private Networks LLC.
NMA 05,NMA 05,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,173.163.241.109,WAN2,209.71.136.126,Unite Private Networks LLC.,173.163.241.109,Comcast
NMA 06,NMA 06,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,500.0M x 30.0M,$175.56,71.25.95.217,WAN1,71.25.95.217,Comcast,166.248.9.218,Verizon
NMA 07,NMA 07,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,1200.0M x 35.0M,$282.23,96.92.66.77,WAN1,96.92.66.77,Comcast,166.248.7.30,Verizon
NMA 08,NMA 08,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,96.77.28.109,WAN1,96.77.28.109,Comcast,192.168.2.232,Private IP
NMA 09,NMA 09,Primary,SparkLight,sparklight,"CABLE ONE, INC.",cable one inc,No Match,30,"Low similarity (scores: 26, 30, 26)",300.0M x 30.0M,$224.99,67.60.99.2,WAN1,67.60.99.2,"CABLE ONE, INC.",96.72.12.153,Comcast
NMA 09,NMA 09 -B,Secondary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,250.0M x 25.0M,$134.45,96.72.12.153,WAN2,67.60.99.2,"CABLE ONE, INC.",96.72.12.153,Comcast
NMA 10,,Primary,Comcast,comcast,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 35.0M,,,WAN1 (Provider Match),96.77.22.185,Comcast,192.168.0.151,Private IP
NMA 11,NMA 11,Primary,TDS Cable,tds cable,DISCOUNT TIRE ,discount tire,No Match,46,"Low similarity (scores: 36, 46, 27)",300.0M x 30.0M,$99.95,24.49.160.42,WAN2,66.18.169.141,"TULAROSA COMMUNICATIONS, INC.",24.49.160.42,DISCOUNT TIRE 
NMA 11,NMA 11- B,Secondary,Tularosa Basin Telephone Company,tularosa basin telephone company,"TULAROSA COMMUNICATIONS, INC.",tularosa communications inc,Possible Match,63,"Low confidence (scores: 51, 63, 54)",100.0M x 100.0M,$169.99,66.18.169.141,WAN1,66.18.169.141,"TULAROSA COMMUNICATIONS, INC.",24.49.160.42,DISCOUNT TIRE 
NMA 12,NMA 12,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,96.77.26.145,WAN1,96.77.26.145,Comcast,192.168.2.105,Private IP
NMA 13,NMA 13- B,Secondary,VZW Cell,vzw cell,Unite Private Networks LLC.,unite private networks llc,No Match,50,"Low similarity (scores: 29, 50, 24)",300.0M x 300.0M,$699.00,209.71.136.18,WAN1,209.71.136.18,Unite Private Networks LLC.,192.168.0.152,Private IP
NMA Call Center,NMA Call Center,Primary,Comcast Workplace,comcast workplace,,,No Match,0,No WAN1 ARIN data,750.0M x 35.0M,$234.45,74.92.206.225,Unknown,,,,
NMAW00,NMAW00,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,96.92.78.213,WAN1,96.92.78.213,Comcast,107.80.188.250,AT&T
NMC 01,NMC 01,Primary,Altice West,altice west,Optimum,optimum,Match,95,Canonical match: Optimum,300.0M x 30.0M,$151.12,66.76.20.2,WAN2 (Provider Match),68.66.82.53,Plateau Telecommunications Incorporated,74.192.234.29,Optimum
NMC 01,NMC 01- B,Secondary,Plateau Telecommunications,plateau telecommunications,Plateau Telecommunications Incorporated,plateau telecommunications incorporated,Match,100,"Fuzzy match (scores: 80, 100, 80)",500.0M x 500.0M,$350.00,68.66.82.53,WAN1,68.66.82.53,Plateau Telecommunications Incorporated,74.192.234.29,Optimum
NMF 01,NMF 01,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,23.31.119.25,WAN1,23.31.119.25,Comcast,192.168.0.4,Private IP
NMF 01,NMF 01- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,Comcast,comcast,No Match,29,"Low similarity (scores: 18, 29, 18)",100.0M x 10.0M,$128.00,168.103.98.122,Unknown,23.31.119.25,Comcast,192.168.0.4,Private IP
