site_name,site_id,circuit_purpose,provider_name,speed,cost,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
NCC 10,NCC 10 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,"SPECTRUM CONSULTANTS, INC",AT&T,Yes
NCC 10,NCC 10,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,"SPECTRUM CONSULTANTS, INC",AT&T,Yes
NCC 11,NCC 11,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
NCC 11,NCC 11 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
NCC 13,NCC 13,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Lumos Networks,Charter Communications,"North State Telephone, LLC",No
NCC 13,NCC 13- B,Secondary,Lumos Networks,500.0M x 500.0M,120.00,Yes,Should get badge,Spectrum,Lumos Networks,Charter Communications,"North State Telephone, LLC",No
NCC 14,NCC 14,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,VZW Cell,Charter Communications,Private IP,No
NCC 15,NCC 15,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,EB2-Windstream Fiber,Spectrum,Windstream Communications LLC,Charter Communications,No
NCC 15,NCC 15 -B,Secondary,EB2-Windstream Fiber,1000.0M x 1000.0M,378.00,Yes,Should get badge,EB2-Windstream Fiber,Spectrum,Windstream Communications LLC,Charter Communications,Yes
NCC 16,NCC 16,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 16,NCC 16 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 17,NCC 17 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 17,NCC 17,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 18,NCC 18,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,VZW Cell,Charter Communications,Private IP,No
NCC 19,NCC 19,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,VZW Cell,Charter Communications,Private IP,No
NCC 20,NCC 20,Secondary,AT&T Broadband II,1000.0M x 200.0M,165.00,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
NCC 20,NCC 20 -B,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
NCC 21,NCC 21,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,,Charter Communications,Private IP,No
NCC 23,NCC 23,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 23,NCC 23 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 24,NCC 24 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 24,NCC 24,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 25,NCC 25,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 25,NCC 25 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 26,NCC 26,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,AT&T Broadband II,AT&T,Charter Communications,Yes
NCC 27,NCC 27,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,Digi,Charter Communications,Private IP,No
NCC 28,NCC 28 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
NCC 28,NCC 28,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
NCC 30,NCC 30,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Digi,CARDINAL INNOVATIONS HEALTHCARE SOLUTIONS,Private IP,No
NCC 33,NCC 33 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 33,NCC 33,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 35,NCC 35,Primary,Altice,500.0M x 50.0M,212.77,Yes,Should get badge,Metronet,Altice,Optimum,Internet Assigned Numbers Authority,No
NCC 35,NCC 35 -B,Secondary,Metronet,300.0M x 300.0M,129.95,Yes,Should get badge,Metronet,Altice,Optimum,Internet Assigned Numbers Authority,No
NCC 36,NCC 36- B,Secondary,GreenLight,1000.0M x 1000.0M,109.95,Yes,Should get badge,Spectrum,GreenLight,Private IP,Greenlight,Yes
NCC 36,NCC 36,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,GreenLight,Private IP,Greenlight,No
NCC 37,NCC 37 -B,Secondary,MetroNet,300.0M x 300.0M,139.95,Yes,Should get badge,Spectrum,MetroNet,Charter Communications,Metronet,Yes
NCC 37,NCC 37,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,MetroNet,Charter Communications,Metronet,No
NCC 39,NCC 39,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 39,NCC 39 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 40,NCC 40 -B,Secondary,EB2-Windstream Fiber,500.0M x 500.0M,209.00,Yes,Should get badge,Spectrum,EB2-Windstream Fiber,Charter Communications,Windstream Communications,Yes
