site_name,site_id,circuit_purpose,provider_name,speed,cost,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
MIG 08,MIG 08,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,GLOBAL AUTOMOTIVE,AT&T,No
MIG 09,MIG 09 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIG 09,MIG 09,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIG 23,MIG 23,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,EB2-Frontier Fiber,Comcast,Frontier Communications,Yes
MIG 23,MIG 23- B,Secondary,EB2-Frontier Fiber,300.0M x 300.0M,175.00,Yes,Should get badge,Comcast Workplace,EB2-Frontier Fiber,Comcast,Frontier Communications,Yes
MIG 24,MIG 24,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIG 24,MIG 24 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIG 29,MIG 29,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MIG 29,MIG 29 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MIG 30,MIG 30 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIG 30,MIG 30,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIH 27,MIH 27,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIH 27,MIH 27 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIK 06,MIK 06 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MIK 06,MIK 06,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MIK 14,MIK 14,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MIK 14,MIK 14 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MIK 30,MIK 30 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIK 30,MIK 30,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIK 31,MIK 31,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MIK 31,MIK 31 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MIL 11,MIL 11,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
MIM 01,MIM 01,Primary,Spectrum,940.0M x 35.0M,355.56,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MIM 01,MIM 01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MIN 01,MIN 01,Primary,Spectrum,300.0M x 20.0M,207.45,Yes,Should get badge,Spectrum,Accelerated,Charter Communications,Private IP,No
MIP 01,MIP 01,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Winn Telecom,Spectrum,Winn Telecom,Charter Communications,No
MIP 01,MIP 01- B,Secondary,Winn Telecom,1000.0M x 100.0M,325.00,Yes,Should get badge,Winn Telecom,Spectrum,Winn Telecom,Charter Communications,Yes
MIS 12,MIS 12,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MIS 12,MIS 12 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MIS 17,MIS 17 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MIS 17,MIS 17,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MIS 20,MIS 20 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MIS 20,MIS 20,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MIT 26,MIT 26,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
MIT 26,MIT 26 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
MIW 21,MIW 21- B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast,AT&T Broadband II,Comcast,AT&T,Yes
MNM 01,MNM 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,,Comcast,Private IP,Yes
MNM 05,MNM 05- B,Secondary,EB2-Lumen DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Comcast,EB2-Lumen DSL,Comcast,"Blue Bell Enterprises,",No
MNM 06,MNM 06,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,,Comcast,Private IP,Yes
MNM 07,MNM 07,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
MNM 07,MNM 07- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
MNM 08,MNM 08- B,Secondary,EB2-Centurylink DSL,140.0M x 20.0M,151.00,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,Private IP,No
MNM 08,MNM 08,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,Private IP,Yes
MNM 10,MNM 10,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,Verizon Business,Comcast,Verizon,Yes
MNM 12,MNM 12,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Metronet,Spectrum,Metronet,Charter Communications,No
MNM 12,MNM 12 -B,Secondary,Metronet,1000.0M x 1000.0M,289.95,Yes,Should get badge,Metronet,Spectrum,Metronet,Charter Communications,Yes
MNM 13,MNM 13- B,Secondary,EB2-Lumen DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Comcast Workplace,EB2-Lumen DSL,Comcast,CenturyLink,No
MNM 13,MNM 13,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,EB2-Lumen DSL,Comcast,CenturyLink,Yes
MNM 14,MNM 14,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Private IP,Yes
MNM 15,MNM 15 -B,Secondary,Metronet,500.0M x 500.0M,199.95,Yes,Should get badge,Spectrum,Metronet,Charter Communications,Jaguar Communications,No
MNM 15,MNM 15,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,Metronet,Charter Communications,Jaguar Communications,No
MNM 17,MNM 17,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Digi,Comcast,Private IP,Yes
MNM 18,MNM 18,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Accelerated,Comcast,Private IP,Yes
MNM 19,MNM 19,Primary,MetroNet,300.0M x 300.0M,129.95,Yes,Should get badge,MetroNet,Digi,Deutsche Telekom,Private IP,No
MNM 20,MNM 20,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,MetroNet,Spectrum,Metronet,Charter Communications,No
MNM 20,MNM 20- B,Secondary,MetroNet,500.0M x 500.0M,855.00,Yes,Should get badge,MetroNet,Spectrum,Metronet,Charter Communications,Yes
MNM 21,MNM 21,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Private IP,Yes
MNM 22,MNM 22,Primary,Spectrum,940.0M x 35.0M,355.56,Yes,Should get badge,Spectrum,EB2-Centurylink DSL,Charter Communications,CenturyLink,No
MNM 22,MNM 22- B,Secondary,EB2-Centurylink DSL,140.0M x 20.0M,151.00,Yes,Should get badge,Spectrum,EB2-Centurylink DSL,Charter Communications,CenturyLink,Yes
MNM 23,MNM 23,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,EB2-Centurylink DSL,Charter Communications,Private IP,No
MNM 23,MNM 23- B,Secondary,EB2-Centurylink DSL,140.0M x 20.0M,151.00,Yes,Should get badge,Spectrum,EB2-Centurylink DSL,Charter Communications,Private IP,No
MNM 26,MNM 26,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,,Comcast Cable Communications,Private IP,Yes
MNM 27,MNM 27 -B,Secondary,CTC,250.0M x 250.0M,275.00,Yes,Should get badge,CenturyLink Fiber Plus,CTC,CenturyLink,CONSOLIDATED TELEPHONE COMPANY,No
MNM 27,MNM 27,Primary,CenturyLink Fiber Plus,500.0M x 500.0M,529.00,Yes,Should get badge,CenturyLink Fiber Plus,CTC,CenturyLink,CONSOLIDATED TELEPHONE COMPANY,Yes
MNM 31,MNM 31,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,,Comcast,,Yes
MOK 01,MOK 01 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T,Spectrum,Private IP,Charter Communications,No
MOK 01,MOK 01,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,AT&T,Spectrum,Private IP,Charter Communications,No
MOK 02,MOK 02,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MOK 02,MOK 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MOK 03,MOK 03,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MOK 03,MOK 03 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MOK 05,MOK 05,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MOK 05,MOK 05 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MOK 06,MOK 06 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MOK 06,MOK 06,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MOK 07,MOK 07,Primary,Spectrum ,600.0M x 35.0M,244.45,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
MOK 07,MOK 07- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
MON 01,MON 01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Altice West,AT&T Broadband II,Optimum,AT&T,Yes
MON 01,MON 01,Primary,Altice West,500.0M x 50.0M,212.77,Yes,Should get badge,Altice West,AT&T Broadband II,Optimum,AT&T,No
MOO 02,MOO 02,Primary,Mediacom/BOI,1000.0M x 30.0M,353.34,Yes,Should get badge,Mediacom Communications Corporation,AT&T Broadband II,Mediacom Communications Corporation,AT&T,Yes
MOO 02,MOO 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Mediacom Communications Corporation,AT&T Broadband II,Mediacom Communications Corporation,AT&T,Yes
MOO 03,MOO 03 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Mediacom Communications Corporation,AT&T Broadband II,Mediacom Communications Corporation,AT&T,Yes
MOO 03,MOO 03,Primary,Mediacom/BOI,1000.0M x 30.0M,353.34,Yes,Should get badge,Mediacom Communications Corporation,AT&T Broadband II,Mediacom Communications Corporation,AT&T,Yes
MOR 01,MOR 01 -B,Secondary,EB2-Sparklight Cable,300.0M x 30.0M,335.00,Yes,Should get badge,Fidelity Communications,EB2-Sparklight Cable,"Fidelity Cablevision, LLC","Fidelity Cablevision, LLC",No
MOR 01,MOR 01,Primary,Fidelity Communications,350.0M x 20.0M,185.00,Yes,Should get badge,Fidelity Communications,EB2-Sparklight Cable,"Fidelity Cablevision, LLC","Fidelity Cablevision, LLC",Yes
MOS 01,MOS 01- B,Secondary,AT&T Broadband II,1000.0M x 200.0M,165.00,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
MOS 01,MOS 01,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
MOS 02,MOS 02,Primary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,AT&T Broadband II,AT&T,AT&T,AT&T,Yes
MOS 03,MOS 03 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Private IP,AT&T,Yes
MOS 03,MOS 03,Primary,Spectrum,300.0M x 20.0M,207.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Private IP,AT&T,No
MOS 04,MOS 04 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MOS 04,MOS 04,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MOS 05,MOS 05 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MOS 05,MOS 05,Primary,Spectrum,940.0M x 35.0M,355.56,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MOS 06,MOS 06 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
MOS 06,MOS 06,Primary,AT&T Broadband II,200.0M x 40.0M,104.99,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
MOS 07,MOS 07,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,Yes,Should get badge,AT&T Broadband II,VZW Cell,AT&T,Verizon,Yes
MOS 08,MOS 08,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Brightspeed,Charter Communications,CenturyLink,No
MOS 08,MOS 08- B,Secondary,Brightspeed,100.0M x 100.0M,189.00,Yes,Should get badge,Spectrum,Brightspeed,Charter Communications,CenturyLink,No
MOS 09,MOS 09,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Digi,Charter Communications,AT&T,No
MOS 10,MOS 10,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Starlink,Charter Communications,"SpaceX Services, Inc.",No
MOS 12,MOS 12,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Private Customer - AT&T Internet Services,Spectrum,AT&T,Charter Communications,No
MSN 01,MSN 01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MSN 01,MSN 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MSN 02,MSN 02,Primary,C Spire,300.0M x 300.0M,470.00,Yes,Should get badge,C Spire,Comcast Workplace,C Spire Fiber,Comcast,Yes
MSN 02,MSN 02- B,Secondary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,C Spire,Comcast Workplace,C Spire Fiber,Comcast,Yes
MTB 01,MTB 01,Primary,Spectrum ,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum ,Digi,Charter Communications,Private IP,No
MTM 01,MTM 01,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,VZW Cell,Charter Communications,Private IP,No
MTM 02,MTM 02,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,,Charter Communications,Private IP,No
NCC 01,NCC 01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 01,NCC 01,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 02,NCC 02,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 02,NCC 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 03,NCC 03 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
NCC 03,NCC 03,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
NCC 04,NCC 04,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 04,NCC 04 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 05,NCC 05 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 05,NCC 05,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 06,NCC 06,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 06,NCC 06 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 07,NCC 07 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 07,NCC 07,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 08,NCC 08,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
NCC 08,NCC 08 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
NCC 09,NCC 09,Primary,Spectrum,940.0M x 35.0M,355.56,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 09,NCC 09 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
