site_name,interface,ip_address,provider_name,ip_assignment_status,circuit_type
CAL 11,WAN1,184.188.125.168,Cox Communications,static,Non-DSR
CAL 12,WAN1,45.25.217.241,AT&T Broadband II,static,DSR
CAL 13,WAN1,47.181.218.180,Frontier Communications,static,Non-DSR
CAL 14,WAN1,72.34.90.78,DSR One Ring Networks | Fixed Wireless |,static,Non-DSR
CAL 15,WAN1,98.153.174.142,Spectrum,static,DSR
CAL 17,WAN1,47.176.201.18,Frontier Communications,static,Non-DSR
CAL 18,WAN1,47.46.116.74,Spectrum,static,DSR
CAL 19,WAN1,99.29.108.233,AT&T Broadband II,static,DSR
CAL 20,WAN1,47.179.15.126,Frontier Communications,static,Non-DSR
CAL 21,WAN1,68.77.247.81,AT&T Broadband,static,DSR
CAL 21,WAN2,23.114.69.105,AT&T Broadband,static,DSR
CAL 22,WAN1,173.196.160.142,Spectrum,static,DSR
CAL 22,WAN2,108.227.54.145,AT&T Broadband II,static,DSR
CAL 23,WAN1,99.128.22.105,AT&T Broadband II,static,DSR
CAL 23,WAN2,24.199.26.158,Spectrum,static,DSR
CAL 24,WAN1,47.176.12.58,Frontier Communications,static,Non-DSR
CAL 26,WAN1,67.53.103.142,Spectrum,static,DSR
CAL 26,WAN2,99.30.252.57,AT&T Broadband II,static,DSR
CAL 28,WAN1,137.27.238.234,Spectrum,static,DSR
CAL 29,WAN1,12.3.118.66,Frontier,static,DSR
CAL 31,WAN1,76.80.189.186,Spectrum,static,DSR
CAL 33,WAN1,23.24.207.137,Comcast Workplace,static,DSR
CAL 35,WAN1,107.215.140.233,AT&T Broadband II,static,DSR
CAL 35,WAN2,47.46.116.98,Spectrum,static,DSR
CAL 37,WAN1,144.129.44.198,Spectrum,static,DSR
CAL 38,WAN1,71.95.197.18,Spectrum,static,DSR
CAL 41,WAN1,108.227.52.33,AT&T Broadband II,static,DSR
CAL 41,WAN2,45.59.236.50,Spectrum,static,DSR
CAL 42,WAN1,107.200.251.9,AT&T Broadband II,static,DSR
