Site Name,Current WAN1,Future WAN1,WAN1 Change,Current WAN2,Future WAN2,WAN2 Change,Fix Type
COP 02,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
COP 03,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nEB2-Centurylink DSL n (100.0M x 10.0M),EB2-Centurylink DSL (100.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
Corporate Store0,nCorporate Store 0 Replica requested by Paul Higel Located in Endpoint Room Named MAR_01 in AD TEST STORE n (),Corporate Store 0 Replica requested by Paul Higel Located in Endpoint Room Named MAR_01 in AD TEST STORE (),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
COS 01,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
COS 02,nComcast Workplace n (250.0M x 25.0M),Comcast Workplace (250.0M x 25.0M),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
COS 03,nComcast Workplace n (300.0M x 25.0M),Comcast Workplace (300.0M x 25.0M),✓ CHANGED,nEB2-Centurylink DSL n (100.0M x 10.0M),EB2-Centurylink DSL (100.0M x 10.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
COS 04,nCenturyLink n (500.0M x 500.0M),CenturyLink (500.0M x 500.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
COS 05,nUnite Private Networks n (300.0M x 300.0M),Unite Private Networks (300.0M x 300.0M),✓ CHANGED,nComcast Workplace n (300.0M x 25.0M),Comcast Workplace (300.0M x 25.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
COX 01,(empty),(empty),,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix
COX 01,(empty),(empty),,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix
Desert Ridge,nCox Network 500 500 Circuit ID 23.HMXX.126497 Acct 2318296-02 AT&T ADI n (100.0M x 100.0M),Cox Network 500 500 Circuit ID 23.HMXX.126497 Acct 2318296-02 AT&T ADI (100.0M x 100.0M),✓ CHANGED,(empty),(empty),,Provider Name Fix
DR VTV Test Lab II,nUnknown (),Unknown (),✓ CHANGED,(empty),(empty),,Provider Name Fix
EQX-DataCenter-WA,nUnknown (),Unknown (),✓ CHANGED,(empty),(empty),,Provider Name Fix
EQX-DataCenter-WA,nUnknown (),Unknown (),✓ CHANGED,(empty),(empty),,Provider Name Fix
EQX-OOB-WA-01,(empty),(empty),,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix
EQX-OOB-WA-02,nUnknown n (),Unknown (),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLD 01,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLD 02,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLD 04,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLG 01,nDSR Cox n (300.0M x 30.0M),DSR Cox (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
