site_name,site_id,circuit_purpose,circuit_provider,circuit_speed,circuit_cost,circuit_ip,status,data_source,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_ip,wan1_arin_provider,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_ip,wan2_arin_provider,has_meraki_device,has_dt_tag,exclusion_reason,provider_match,wan1_arin_match,wan2_arin_match,would_get_dsr_badge
AZH 01,AZH 01,Primary,Altice West,500.0M x 50.0M,212.77,24.121.227.61,Enabled,csv_import,Optimum,500.0M x 50.0M,24.121.227.61,Optimum,Digi,Cell,192.168.2.215,Private IP,Yes,Yes,Eligible,No match,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,No
AZK 01,,Primary,Frontier,,1200.00,,Enabled,Non-DSR,Frontier,,10.254.254.2,Private IP,Allo Communications,500.0M x 500.0M,165.171.189.170,Customer Public IP Range at KGM01,Yes,Yes,Not from CSV import,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,No
AZK 01,AZK 01 -B,Secondary,Allo Communications,500.0M x 500.0M,204.00,NaN,Enabled,csv_import,Frontier,,10.254.254.2,Private IP,Allo Communications,500.0M x 500.0M,165.171.189.170,Customer Public IP Range at KGM01,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
AZM 01,AZM 01,Primary,Orbitel Communications,300.0M x 20.0M,199.95,208.90.178.254,Enabled,csv_import,Orbitel Communications,300.0M x 20.0M,208.90.178.254,"Orbitel Communications, LLC",Digi,Cell,192.168.2.105,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZN 02,AZN 02,Primary,EB2-CableOne Cable,300.0M x 30.0M,335.00,24.117.65.74,Enabled,csv_import,"CABLE ONE, INC.",300.0M x 30.0M,24.117.65.74,"Cable One, Inc.",Digi,Cell,192.168.2.194,Private IP,Yes,Yes,Eligible,Partial match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZN 03,AZN 03,Primary,Sparklight,300.0M x 30.0M,248.75,67.60.206.6,Enabled,csv_import,Sparklight,300.0M x 30.0M,67.60.206.6,"Cable One, Inc.",Digi,Cell,192.168.0.151,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
AZN 04,,Primary,AT&T,,830.78,,Enabled,Non-DSR,AT&T,,12.39.141.194,AT&T,Digi,Cell,192.168.2.119,Private IP,Yes,Yes,Not from CSV import,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,No
AZN 05,AZN 05,Primary,TransWorld,500.0M x 500.0M,300.00,69.171.123.138,Enabled,csv_import,TransWorld,500.0M x 500.0M,69.171.123.138,FAIRNET LLC,VZW Cell,Cell,192.168.0.151,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
AZN 06,AZN 06,Primary,Sparklight,300.0M x 30.0M,224.29,159.118.232.190,Enabled,csv_import,Sparklight,300.0M x 30.0M,159.118.232.190,"Cable One, Inc.",Verizon Business,Cell,166.248.7.248,Verizon,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN matches Meraki,Yes
AZP 03,AZP 03 -B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,98.190.154.148,Enabled,csv_import,Cox Business BOI,300.0M x 30.0M,98.190.154.148,Cox Communications,Digi,Cell,192.168.2.125,Private IP,Yes,Yes,Eligible,Partial match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 05,AZP 05,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,72.216.209.162,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,72.216.209.162,Cox Communications,Starlink,Satellite,162.213.70.10,ZeroOutages,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 07,AZP 07,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,184.186.205.106,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,184.186.205.106,Cox Communications,VZW Cell,Cell,166.248.10.41,Verizon,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 08,AZP 08,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,68.15.185.94,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,68.15.185.94,Cox Communications,VZW Cell,Cell,192.168.0.151,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 09,AZP 09,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,24.250.98.131,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,24.250.98.131,Cox Communications,EB2-Lumen DSL,100.0M x 10.0M,67.40.64.233,CenturyLink,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 09,AZP 09- B,Secondary,EB2-Lumen DSL,100.0M x 10.0M,128.00,67.40.64.233,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,24.250.98.131,Cox Communications,EB2-Lumen DSL,100.0M x 10.0M,67.40.64.233,CenturyLink,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
