Site Name,Site ID,Circuit Purpose,DSR Provider,ARIN Provider,Match Status,Match Score,DSR Speed,DSR Cost,Meraki Notes (Parsed),WAN1 Notes Provider,WAN1 Notes Speed,WAN2 Notes Provider,WAN2 Notes Speed,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
CAS 50,CAS 50,Primary,GTT Ethernet,Frontier Communications,No Match,35,200.0M x 200.0M,$177.66,WAN 1 | EB2-Frontier Fiber | 500.0M x 500.0M | WAN 2 | GTT Ethernet | 200.0M x 200.0M,EB2-Frontier Fiber,500.0M x 500.0M,GTT Ethernet,200.0M x 200.0M,47.180.196.75,WAN2,47.181.172.127,Frontier Communications,47.180.196.75,Frontier Communications
COD00,COD00,Primary,Comcast Workplace,,No Match,0,600.0M x 35.0M,$234.45,,,,,,173.164.63.45,Unknown,,,,
COD 06,COD 06,Primary,Lumen,CenturyLink,No Match,50,100.0M x 10.0M,$139.99,WAN 1 | CenturyLink | 100.0M x 10.0M | WAN 2 | Unknown,CenturyLink,100.0M x 10.0M,Unknown,,63.231.93.145,WAN1,63.231.93.145,CenturyLink,107.80.169.157,AT&T
COD 23,COD 23- B,Secondary,EB2-Lumen DSL,CenturyLink,No Match,33,100.0M x 10.0M,$128.00,WAN 1 | Comcast | 300.0M x 35.0M | WAN 2 | EB2-Lumen DSL | 100.0M x 10.0M,Comcast,300.0M x 35.0M,EB2-Lumen DSL,100.0M x 10.0M,67.40.43.129,WAN2,50.209.236.229,Comcast,67.40.43.129,CenturyLink
COD 26,COD 26- B,Secondary,EB2-Centurylink DSL,Western Disposal,No Match,36,80.0M x 10.0M,$128.00,WAN 1 | Comcast Workplace | 750.0M x 35.0M | WAN 2 | EB2-Centurylink DSL | 80.0M x 10.0M,Comcast Workplace,750.0M x 35.0M,EB2-Centurylink DSL,80.0M x 10.0M,63.229.239.225,WAN2,96.66.88.141,Comcast,63.229.239.225,Western Disposal
COD 28,COD 28,Primary,Comcast Workplace,WYATT CREATIVE,No Match,44,1200.0M x 35.0M,$282.23,WAN 1 | Comcast Workplace | 1000.0M x 35.0M | WAN 2 | AT&T | 20.0M x 20.0M,Comcast Workplace,1000.0M x 35.0M,AT&T,20.0M x 20.0M,50.194.145.129,WAN1,50.194.145.129,WYATT CREATIVE,12.109.239.26,AT&T
COD 34,COD 34,Primary,Lumen/Qwest,CenturyLink,No Match,40,100.0M x 10.0M,$149.99,WAN 1 | CenturyLink | 100.0M x 10.0M | WAN 2 | VZW Cell | Cell,CenturyLink,100.0M x 10.0M,VZW Cell Cell,,65.103.115.121,WAN1,65.103.115.121,CenturyLink,166.253.101.127,Verizon
COD 41,,Primary,Lumen,Level 3 Parent,No Match,57,300.0M x 300.0M,$1145.00,WAN 1 | Lumen | 300.0M x 300.0M | WAN 2 | Verizon Business,Lumen,300.0M x 300.0M,Verizon Business,,,Unknown,65.56.84.242,Level 3 Parent,166.156.147.159,Verizon
COG 02,COG 02,Primary,Comcast Workplace,,No Match,0,750.0M x 35.0M,$234.45,,,,,,50.198.210.201,Unknown,,,,
COG 02,COG 02- B,Secondary,Community Broadband Network,,No Match,0,100.0M x 100.0M,$105.00,,,,,,74.114.7.176,Unknown,,,,
