site_name,site_id,circuit_purpose,provider_name,speed,cost,matched_meraki_name,name_match_type,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
MNM 09 -B,MNM 09 -B,Secondary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
MNMW01,MNMW01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
MOS XX,MOS XX -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,,No match,No,1. No Meraki device,,,,,No
MOS XX,MOS XX,Primary,Spectrum,600.0M x 35.0M,172.23,,No match,No,1. No Meraki device,,,,,No
NCC00,NCC00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
NCC W00,NCC W00,Primary,Spectrum,600.0M x 35.0M,244.45,,No match,No,1. No Meraki device,,,,,No
NMA00,NMA00- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,,No match,No,1. No Meraki device,,,,,No
NMA00,NMA00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,,No match,No,1. No Meraki device,,,,,No
NMA Call Center,NMA Call Center,Primary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
NNM 09,NNM 09,Primary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
NVL000,NVL000,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,,No match,No,1. No Meraki device,,,,,No
NVLW 01,NVLW 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,,No match,No,1. No Meraki device,,,,,No
OKO00,OKO00,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,,No match,No,1. No Meraki device,,,,,No
TNN00,TNN00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,,No match,No,1. No Meraki device,,,,,No
TNN00,TNN00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
TXD00,TXD00,Primary,Spectrum,600.0M x 35.0M,172.23,,No match,No,1. No Meraki device,,,,,No
TXH00,TXH00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
TXH00,TXH00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,,No match,No,1. No Meraki device,,,,,No
TXH Training,TXH Training,Primary,Comcast Workplace,300.0M x 30.0M,175.56,,No match,No,1. No Meraki device,,,,,No
TXHW00,TXHW00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
TXHW00,TXHW00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
TXS000,TXS 00,Primary,Spectrum,600.0M x 35.0M,244.45,,No match,No,1. No Meraki device,,,,,No
UTSW01,UTSW01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
UTSW02,UTSW02,Primary,Comcast Workplace,600.0M x 35.0M,234.45,,No match,No,1. No Meraki device,,,,,No
VAF 01,VAF 01,Primary,Comcast Workplace,250.0M x 25.0M,186.18,,No match,No,1. No Meraki device,,,,,No
WAS00,WAS00,Primary,Ziply Fiber,1000.0M x 1000.0M,200.00,,No match,No,1. No Meraki device,,,,,No
WDGA01_01,WDGA01_01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,,No match,No,1. No Meraki device,,,,,No
