Site Name,Site ID,Circuit Purpose,DSR Provider,ARIN Provider,Notes Provider,Match Status,Match Score,Match Source,Match Reason,DSR Speed,DSR Cost
TXH 51,TXH 51,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 52,TXH 52- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
TXH 53,TXH 53 - B,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 53,TXH 53,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXH 54,TXH 54,Primary,Comcast Workplace,Comcast,Comcast Cable Communications LLC,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 55,TXH 55- B,Secondary,"Comcast Cable Communications, LLC",AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
TXH 56,TXH 56- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
TXH 57,TXH 57,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
TXH 58,TXH 58,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 58,TXH 58 -B,Secondary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
TXH 59,TXH 59,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXH 59,TXH 59 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 60,TXH 60,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 60,TXH 60 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 61,TXH 61,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
TXH 61,TXH 61 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 62,TXH 62,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
TXH 62,TXH 62 -B,Secondary,AT&T Broadband II,,AT&T Broadband II,Match,95,Notes,Direct match with notes,1000.0M x 1000.0M,$165.01
TXH 63,TXH 63,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 64,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,300.0M x 35.0M,
TXH 65,TXH 65- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
TXH 66,TXH 66,Primary,Comcast Workplace,PPO CHECK,Comcast Workplace,Match,95,Notes,Direct match with notes,750.0M x 35.0M,$234.45
TXH 66,TXH 66 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXH 67,TXH 67,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 67,TXH 67 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 68,TXH 68,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 69,TXH 69,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXH 69,TXH 69- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXH 70,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,300.0M x 35.0M,
TXH 71,TXH 71,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXH 72,TXH 72,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 72,TXH 72- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXH 73,TXH 73,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
TXH 74,TXH 74,Primary,Altice,,,No Match,0,,No match found,500.0M x 50.0M,$212.77
TXH 75,TXH 75,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 77,TXH 77,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 77,TXH 77- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXH 78,TXH 78,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
TXH 78,TXH 78 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 79,TXH 79,Primary,Comcast Workplace,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 80,TXH 80,Primary,Comcast Workplace,FIDELITY NATIONAL TITLE,Comcast Workplace,Match,95,Notes,Direct match with notes,750.0M x 35.0M,$234.45
TXH 81,TXH 81,Primary,Rise Broadband,"JAB Wireless, INC.",Rise Broadband,Match,95,Notes,Direct match with notes,15.0M x 3.0M,$149.95
TXH 81,TXH 81,Secondary,Metronet,Metronet,Metronet,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$139.95
TXH 82,TXH 82- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 83,TXH 83,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
TXH 84,TXH 84,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 84,TXH 84 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 85,TXH 85,Primary,Altice West,Optimum,Optimum,Match,100,ARIN (mapped),Mapped match with ARIN,500.0M x 50.0M,$222.23
TXH 86,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,
TXH 87,TXH 87,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 87,TXH 87 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXH 88,TXH 88,Primary,Comcast Workplace,VESCO BUSINESS PRODUCTS,Comcast Workplace,Match,95,Notes,Direct match with notes,300.0M x 30.0M,$186.18
TXH 88,TXH 88 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 89,TXH 89,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,$186.18
TXH 89,TXH 89 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 90,TXH 90,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
TXH 90,TXH 90 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXH 91,TXH 91,Primary,Livcom,Telcom Supply,Livcom,Match,95,Notes,Direct match with notes,200.0M x 200.0M,$150.00
TXH 92,TXH 92,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,$186.18
TXH 92,TXH 92- B,Secondary,Brightspeed,,,No Match,0,,No match found,80.0M x 10.0M,$149.99
TXH 93,TXH 93,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXH 93,TXH 93 -B,Secondary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
TXH 94,TXH 94,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
TXH 94,TXH 94- B,Secondary,Consolidated Communications,"Consolidated Communications, Inc.",Consolidated Communications,Match,95,Notes,Direct match with notes,300.0M x 300.0M,$469.00
TXH 95,TXH 95,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,$186.18
TXH 95,TXH 95- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXH 96,TXH 96,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
TXH 97,TXH 97,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 200.0M,$165.00
TXH SE Flex DTU,TXH SE Flex DTU,Primary,Comcast Workplace,,,No Match,0,,No match found,750.0M x 35.0M,$234.45
