site_name,site_id,circuit_purpose,dsr_provider,dsr_speed,dsr_cost,dsr_ip,meraki_wan1_provider,wan1_ip,wan1_arin_provider,meraki_wan2_provider,wan2_ip,wan2_arin_provider,current_match,normalized_dsr_provider,normalized_wan1_arin,normalized_wan2_arin,wan1_arin_matches_dsr,wan2_arin_matches_dsr
COD 19,COD 19,Primary,CenturyLink Fiber Plus,500.0M x 500.0M,600.00,63.239.214.18,CenturyLink Fiber Plus,63.239.214.18,CenturyLink,Verizon Business,166.248.10.59,Verizon,WAN1,centurylink,centurylink,verizon,Yes,No
COD 20,COD 20,Primary,Comcast Workplace,300.0M x 30.0M,175.56,96.78.4.81,Comcast Workplace,96.78.4.81,Comcast,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 21,COD 21,Primary,Comcast Workplace,300.0M x 30.0M,175.56,50.211.254.149,Comcast Workplace,50.211.254.149,Comcast,CenturyLink/Qwest,63.229.227.41,CenturyLink,WAN1,comcast,comcast,centurylink,Yes,No
COD 21,COD 21,Secondary,CenturyLink/Qwest,40.0M x 5.0M,99.99,63.229.227.41,Comcast Workplace,50.211.254.149,Comcast,CenturyLink/Qwest,63.229.227.41,CenturyLink,WAN2,centurylink,comcast,centurylink,No,Yes
COD 23,COD 23- B,Secondary,EB2-Lumen DSL,100.0M x 10.0M,128.00,67.40.43.129,Comcast,50.209.236.229,Comcast,EB2-Lumen DSL,67.40.43.129,CenturyLink,WAN2,centurylink,comcast,centurylink,No,Yes
COD 24,COD 24,Primary,Comcast Workplace,600.0M x 35.0M,234.45,96.69.179.121,Comcast Workplace,96.69.179.121,Comcast,AT&T Cell,192.168.2.168,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 25,COD 25,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.242.141.237,Comcast Workplace,50.242.141.237,Comcast,EB2-Centurylink DSL,67.40.41.177,CenturyLink,WAN1,comcast,comcast,centurylink,Yes,No
COD 25,COD 25- B,Secondary,EB2-Centurylink DSL,140.0M x 20.0M,151.00,67.40.41.177,Comcast Workplace,50.242.141.237,Comcast,EB2-Centurylink DSL,67.40.41.177,CenturyLink,WAN2,centurylink,comcast,centurylink,No,Yes
COD 26,COD 26,Primary,Comcast Workplace,600.0M x 35.0M,234.45,96.66.88.141,Comcast Workplace,96.66.88.141,Comcast,EB2-Centurylink DSL,63.229.239.225,Western Disposal,WAN1,comcast,comcast,western,Yes,No
COD 26,COD 26- B,Secondary,EB2-Centurylink DSL,80.0M x 10.0M,128.00,63.229.239.225,Comcast Workplace,96.66.88.141,Comcast,EB2-Centurylink DSL,63.229.239.225,Western Disposal,WAN2,centurylink,comcast,western,No,No
COD 27,COD 27,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.189.36.57,Comcast Workplace,50.189.36.57,Comcast,Accelerated AT&T,192.168.2.176,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 28,COD 28,Primary,Comcast Workplace,1000.0M x 35.0M,282.23,50.194.145.129,Comcast Workplace,50.194.145.129,WYATT CREATIVE,AT&T,12.109.239.26,AT&T,WAN1,comcast,at&t,at&t,No,No
COD 29,COD 29,Primary,Comcast Workplace,600.0M x 35.0M,234.45,173.8.235.101,Comcast Workplace,173.8.235.101,Comcast,Digi,192.168.2.164,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 30,COD 30,Primary,Comcast Workplace,300.0M x 30.0M,175.56,50.214.12.145,Comcast Workplace,50.214.12.145,Comcast,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 31,COD 31,Primary,MallCom Networks,300.0M x 30.0M,289.00,192.190.112.119,MallCom Networks,192.190.112.119,"Lrm-Com, Inc.",AT&T Cell,192.168.2.194,Private IP,WAN1,mallcom,"lrm-com,",private,No,No
COD 32,COD 32,Primary,Comcast Workplace,300.0M x 30.0M,175.56,96.87.43.105,Comcast Workplace,96.87.43.105,Comcast,CenturyLink/Qwest,63.227.119.113,CenturyLink,WAN1,comcast,comcast,centurylink,Yes,No
COD 32,COD 32,Secondary,CenturyLink/Qwest,100.0M x 10.0M,169.99,63.227.119.113,Comcast Workplace,96.87.43.105,Comcast,CenturyLink/Qwest,63.227.119.113,CenturyLink,WAN2,centurylink,comcast,centurylink,No,Yes
COD 34,COD 34,Primary,Lumen/Qwest,100.0M x 10.0M,149.99,65.103.115.121,Lumen/Qwest,65.103.115.121,CenturyLink,VZW Cell,192.168.0.151,Private IP,WAN1,centurylink,centurylink,private,Yes,No
COD 35,COD 35,Primary,LiveWire Net,75.0M x 15.0M,110.00,66.185.98.122,Comcast Workplace,96.66.73.17,Comcast,LiveWire Net,66.185.98.122,"Live Wire Networks, Inc",WAN2,livewire,comcast,live,No,No
COD 35,COD 35 -B,Secondary,Comcast Workplace,300.0M x 30.0M,175.56,96.66.73.17,Comcast Workplace,96.66.73.17,Comcast,LiveWire Net,66.185.98.122,"Live Wire Networks, Inc",WAN1,comcast,comcast,live,Yes,No
