site_name,site_id,circuit_purpose,circuit_provider,circuit_speed,circuit_cost,circuit_ip,status,data_source,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_ip,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_ip,has_meraki_device,has_dt_tag,exclusion_reason,provider_match,would_get_dsr_badge
KSK00N,KSK00N -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,76.201.157.129,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
KYN 00,KYN 00,Primary,Cincinnati Bell,400.0M x 200.0M,84.99,66.42.186.206,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
KYN 00,KYN 00 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,71.66.89.90,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
LAB 01,LAB 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,68.96.156.235,Enabled,csv_import,: Cox Business/BOI,300.0M x 30.0M,68.96.156.235,: REV Business,100.0M x 100.0M,209.124.218.134,Yes,Yes,Lab site,No match,No
LAB 01,LAB 01 -B,Secondary,REV Business,100.0M x 100.0M,100.00,209.124.218.134,Enabled,csv_import,: Cox Business/BOI,300.0M x 30.0M,68.96.156.235,: REV Business,100.0M x 100.0M,209.124.218.134,Yes,Yes,Lab site,No match,No
LAB 02,LAB 02,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,68.96.147.246,Enabled,csv_import,: Cox Business/BOI,300.0M x 30.0M,68.96.147.246,: AT&T Broadband II,300.0M x 300.0M,99.18.29.121,Yes,Yes,Lab site,No match,No
LAB 02,LAB 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,99.18.29.121,Enabled,csv_import,: Cox Business/BOI,300.0M x 30.0M,68.96.147.246,: AT&T Broadband II,300.0M x 300.0M,99.18.29.121,Yes,Yes,Lab site,No match,No
LAB 03,LAB 03,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,72.215.247.249,Enabled,csv_import,: AT&T Broadband II,300.0M x 30.0M,104.62.190.17,: Cox Business/BOI,1000.0M x 1000.0M,72.215.247.249,Yes,Yes,Lab site,No match,No
LAB 03,LAB 03- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,104.62.190.17,Enabled,csv_import,: AT&T Broadband II,300.0M x 30.0M,104.62.190.17,: Cox Business/BOI,1000.0M x 1000.0M,72.215.247.249,Yes,Yes,Lab site,No match,No
LAB 04,LAB 04,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,99.26.78.105,Enabled,csv_import,: AT&T Broadband II,1000.0M x 1000.0M,99.26.78.107,,,192.168.2.153,Yes,Yes,Lab site,Partial match WAN2,No
