hostname,ip_address,position,model,serial_number,port_location,vendor,notes
Alameda-IDFE-VG224,10.101.14.25,Standalone,VG224,FHK1242F1UJ,,,
Alameda-MDF-VG224,10.101.14.26,Standalone,VG224,FGL1449104B,,,
Alameda-Rack3-3750-Stack,10.101.255.101,Master,WS-C3750G-48TS-S,FOC1306W6AH,,,
,,Slave,WS-C3750G-48TS-S,FOC1250W6L0,,,
Alameda-Rack4-3750-A.dtc_phx.com,10.101.255.103,Standalone,WS-C3750G-48TS-S,FOC1411Y8FB,,,
,,SFP,GLC-T,AGM184749GG     ,GigabitEthernet1/0/49,Avago,
,,SFP,GLC-T,AGM184749GK     ,GigabitEthernet1/0/50,Avago,
,,SFP,GLC-T,AGM182927AC     ,GigabitEthernet1/0/51,Avago,
,,SFP,GLC-T,AGM1829272J     ,GigabitEthernet1/0/52,Avago,
Alameda-Rack4-3750-Stack.dtc_phx.com,10.101.255.102,Standalone,WS-C3750G-48TS-S,FOC1306W4BG,,,
,,SFP,GLC-SX-MMD,AGM1249191S     ,GigabitEthernet2/0/49,Avago,
Alameda-Rack5-3750-Stack.dtc_phx.com,10.101.255.105,Master,"""""","""""",,,
,,Slave,WS-C3750G-48TS-E,FOC1050Y671,,,
AL-MPLS-R1.dtc_phx.com,10.101.255.248,Standalone,C8300-1N1S-4T2X,FLM274610LV,,,
,,Module,C8300-1N1S-4T2X,FDO27410DQF,module R0,,
,,SFP,SFP-GE-L            ,FNS140708XX     ,subslot 0/0 transceiver 4,,
,,SFP,SFP-GE-S            ,FNS132701M6     ,subslot 0/0 transceiver 5,,
AL-Rack2-2960-01.dtc_phx.com,10.101.255.29,Standalone,WS-C2960-48TT-L,FOC1324V4A3,,,
Asset-SW8-2960.trtc.com,10.101.108.17,Standalone,WS-C2960S-48TS-S,FOC1717W5HQ,,,
,,SFP,GLC-T               ,00000MTC1611073T,GigabitEthernet0/49,,
,,SFP,GLC-T,AGM151125MY     ,GigabitEthernet0/50,Avago,
CFG_03_SW.trtc.com,10.101.255.124,Standalone,WS-C2960S-24TS-S,FOC1621W5PW,,,
,,SFP,GLC-T,AGM151522WP     ,GigabitEthernet0/25,Avago,
CFG_04_SW.dtc_phx.com,10.101.108.21,Standalone,WS-C3750G-48TS-S,FOC1230Y0RB,,,
,,SFP,GLC-T,AGM201541ER     ,GigabitEthernet1/0/49,Avago,
,,SFP,GLC-SX-MMD,FNS15501ENR     ,GigabitEthernet1/0/50,Finisar,
cordaso12a,10.0.255.115,Standalone,DCS-7050SX3-48YC8,JPA2314P1VK,,,
,,SFP,QSFP-40GSR4-AN-L,USW1000001025820,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225102097    ,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH230301157    ,"""""",,
cordaso12b,10.0.255.116,Standalone,DCS-7050SX3-48YC8,JPA2314P1SG,,,
,,SFP,QSFP-40GSR4-AN-L,USW1000001025819,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH230301155    ,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH230301166    ,"""""",,
cordasq12a,10.0.255.117,Standalone,DCS-7050SX3-48YC8,JPA2314P1S8,,,
,,SFP,QSFP-40GSR4-AN-L,USW1000001025818,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225100626    ,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225100604    ,"""""",,
cordasq12b,10.0.255.118,Standalone,DCS-7050SX3-48YC8,JMX2319A6E6,,,
,,SFP,QSFP-40GSR4-AN-L,USW1000001025817,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225100629    ,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225100614    ,"""""",,
EQX-CldTrst-8500-01,10.44.158.41,Standalone,C8500-12X,TTM251909CU,,,
,,Module,C8500-12X,JAE25230UM7,module R0,,
,,SFP,12xSFP+,JAE12345678,SPA subslot 0/0,,
,,SFP,SFP-10G-SR          ,ECL133102SU     ,subslot 0/0 transceiver 0,,
,,SFP,SFP-10G-SR          ,ECL133101VH     ,subslot 0/0 transceiver 1,,
,,SFP,SFP-10G-SR          ,ECL141104EJ     ,subslot 0/0 transceiver 2,,
,,SFP,SFP-10G-SR          ,ECL1412010X     ,subslot 0/0 transceiver 3,,
,,SFP,SFP-10G-LR          ,FNS16260CQA     ,subslot 0/0 transceiver 10,,
,,SFP,SFP-10G-LR          ,FNS161209Z0     ,subslot 0/0 transceiver 11,,
EQX-CldTrst-8500-02,10.44.158.42,Standalone,C8500-12X,TTM251909E9,,,
,,Module,C8500-12X,JAE25230UM5,module R0,,
,,SFP,SFP-10G-SR          ,ECL133102LL     ,subslot 0/0 transceiver 0,,
,,SFP,SFP-10G-SR          ,AGD133430T4     ,subslot 0/0 transceiver 1,,
,,SFP,SFP-10G-SR          ,ECL133102LP     ,subslot 0/0 transceiver 2,,
,,SFP,SFP-10G-SR          ,ECL133102LV     ,subslot 0/0 transceiver 3,,
,,SFP,SFP-10G-LR          ,FNS23090Z73     ,subslot 0/0 transceiver 10,,
,,SFP,SFP-10G-LR          ,FNS1610116S     ,subslot 0/0 transceiver 11,,
EQX-EdgeDIA-8300-01,10.44.158.51,Standalone,C8300-2N2S-4T2X,FLM2528110Y,,,
,,Module,C-NIM-1X,FDO2523055D,NIM subslot 0/1,,
,,Module,C8300-2N2S-4T2X,FDO25250DEH,module R0,,
,,SFP,SFP-10G-SR          ,ECL1330037X     ,subslot 0/0 transceiver 4,,
,,SFP,SFP-10G-SR          ,FNS25080DNP     ,subslot 0/0 transceiver 5,,
,,SFP,SFP-10G-LR          ,FNS161209BC     ,subslot 0/1 transceiver 0,,
EQX-EdgeDIA-8300-02,10.44.158.52,Standalone,C8300-2N2S-4T2X,FLM252911Q5,,,
,,Module,C-NIM-1X,FDO25280CUV,NIM subslot 0/1,,
,,Module,C8300-2N2S-4T2X,FDO2522110J,module R0,,
,,SFP,SFP-10G-SR          ,ECL133102S6     ,subslot 0/0 transceiver 4,,
,,SFP,SFP-10G-SR          ,ECL133100KB     ,subslot 0/0 transceiver 5,,
,,SFP,SFP-10G-LR          ,FNS161209U2     ,subslot 0/1 transceiver 0,,
EQX-EXT-93180-01,10.44.158.11,Standalone,N9K-C93180YC-FX-24,FDO25240WAU,,,
,,SFP,SFP-10G-SR          ,ECL1411047R     ,Transceiver(slot:1-port:1),,
,,SFP,SFP-10G-SR          ,ECL133104WM     ,Transceiver(slot:1-port:2),,
,,SFP,SFP-10G-SR          ,ECL133102NV     ,Transceiver(slot:1-port:3),,
,,SFP,SFP-10G-SR          ,ECL1412005J     ,Transceiver(slot:1-port:4),,
,,SFP,QSFP-100G-AOC5M     ,DTS2508C418-B   ,Transceiver(slot:1-port:49),,
,,SFP,QSFP-100G-AOC5M     ,DTS2508C415-B   ,Transceiver(slot:1-port:50),,
EQX-EXT-93180-02,10.44.158.12,Standalone,N9K-C93180YC-FX-24,FDO25240WAV,,,
,,SFP,SFP-10G-SR          ,ECL1411047W     ,Transceiver(slot:1-port:1),,
,,SFP,SFP-10G-SR          ,ECL133102PH     ,Transceiver(slot:1-port:2),,
,,SFP,SFP-10G-SR          ,ECL133102R1     ,Transceiver(slot:1-port:3),,
,,SFP,SFP-10G-SR          ,ECL133101PY     ,Transceiver(slot:1-port:4),,
,,SFP,QSFP-100G-AOC5M     ,DTS2508C418-A   ,Transceiver(slot:1-port:49),,
,,SFP,QSFP-100G-AOC5M     ,DTS2508C415-A   ,Transceiver(slot:1-port:50),,
EQX-INT-93180-01,10.44.158.21,Standalone,N9K-C93180YC-FX-24,FDO25240WCG,,,
,,SFP,SFP-10G-SR          ,ECL133100KY     ,Transceiver(slot:1-port:1),,
,,SFP,SFP-10G-SR          ,SPC141103C1     ,Transceiver(slot:1-port:2),,
,,SFP,SFP-10G-SR          ,SPC141103MK     ,Transceiver(slot:1-port:3),,
,,SFP,SFP-10G-SR          ,ECL133102QT     ,Transceiver(slot:1-port:4),,
,,SFP,SFP-10G-SR          ,SPC141101U5     ,Transceiver(slot:1-port:5),,
,,SFP,SFP-10G-SR          ,SPC141103D8     ,Transceiver(slot:1-port:6),,
,,SFP,SFP-10G-SR          ,ECL1331020J     ,Transceiver(slot:1-port:7),,
,,SFP,SFP-10G-SR          ,JUR19130ZRC     ,Transceiver(slot:1-port:8),,
,,SFP,SFP-10G-SR          ,SPC14110344     ,Transceiver(slot:1-port:9),,
,,SFP,SFP-10G-SR          ,JUR191310JJ     ,Transceiver(slot:1-port:10),,
EQX-INT-93180-02,10.44.158.22,Standalone,N9K-C93180YC-FX-24,FDO25240WBE,,,
,,Module,GLC-TE,MTC22380VM3,Transceiver(slot:1-port:25),,
,,SFP,SFP-10G-SR          ,ECL141104J4     ,Transceiver(slot:1-port:1),,
,,SFP,SFP-10G-SR          ,ECL141104JG     ,Transceiver(slot:1-port:2),,
,,SFP,SFP-10G-SR          ,ECL133101ZT     ,Transceiver(slot:1-port:3),,
,,SFP,SFP-10G-SR          ,SPC141103EF     ,Transceiver(slot:1-port:4),,
,,SFP,SFP-10G-SR          ,ECL1412005H     ,Transceiver(slot:1-port:5),,
,,SFP,SFP-10G-SR          ,ECL133102N3     ,Transceiver(slot:1-port:6),,
,,SFP,SFP-10G-SR          ,ECL133102NC     ,Transceiver(slot:1-port:7),,
,,SFP,SFP-10G-SR          ,ECL1330037G     ,Transceiver(slot:1-port:8),,
,,SFP,SFP-10G-SR          ,ECL133102SS     ,Transceiver(slot:1-port:9),,
,,SFP,SFP-10G-SR          ,SPC141101UB     ,Transceiver(slot:1-port:10),,
EQX-MPLS-8300-01,10.44.158.61,Standalone,C8300-2N2S-4T2X,FLM2528110Z,,,
,,Module,C-NIM-1X,FDO2523054G,NIM subslot 0/1,,
,,Module,NIM-1MFT-T1/E1,FOC19416A4L,NIM subslot 0/2,,
,,Module,C8300-2N2S-4T2X,FDO25250DD8,module R0,,
,,SFP,SFP-10G-SR          ,ECL133101NZ     ,subslot 0/0 transceiver 4,,
,,SFP,SFP-10G-SR          ,ECL133101UP     ,subslot 0/0 transceiver 5,,
,,SFP,SFP-GE-L            ,FNS140804XN     ,subslot 0/1 transceiver 0,,
EQX-MPLS-8300-02,10.44.158.62,Standalone,C8300-2N2S-4T2X,FLM2528110X,,,
,,Module,C-NIM-1X,FDO25280CUL,NIM subslot 0/1,,
,,Module,NIM-1MFT-T1/E1,FOC19431F3G,NIM subslot 0/2,,
,,Module,C8300-2N2S-4T2X,FDO25250DDX,module R0,,
,,SFP,SFP-10G-SR          ,ECL133102N6     ,subslot 0/0 transceiver 4,,
,,SFP,SFP-10G-SR          ,ECL133101VJ     ,subslot 0/0 transceiver 5,,
,,SFP,SFP-GE-L            ,FNS13290R87     ,subslot 0/1 transceiver 0,,
Floater-2960-48-QA2.dtc_phx.com,10.41.3.33,Standalone,WS-C2960-48TT-L,FCQ1547X3A6,,,
FW-9300-01,192.168.255.12,Standalone,C9300-24T,FJC2323E0LE,,,
,,Module,C9300-NM-8X,FJZ2804MCTC,Switch 1 FRU Uplink Module 1,,
,,SFP,SFP-10G-SR          ,AGD133430TL     ,Te1/1/1,,
,,SFP,SFP-10G-SR          ,JUR191403FE     ,Te1/1/2,,
,,SFP,SFP-10G-SR          ,AGD133431DR     ,Te1/1/3,,
,,SFP,SFP-10G-SR          ,FNS28020G8Y     ,Te1/1/7,,
,,SFP,SFP-10G-SR          ,ECL133102SG     ,Te1/1/8,,
FW-9300-02,192.168.255.13,Standalone,C9300-24T,FJB2323B08W,,,
,,Module,C9300-NM-8X,FJZ28040RHQ,Switch 1 FRU Uplink Module 1,,
,,SFP,SFP-10G-SR          ,ECL1332033B     ,Te1/1/1,,
,,SFP,SFP-10G-SR          ,ECL133202DJ     ,Te1/1/2,,
,,SFP,SFP-10G-SR          ,ECL141200YY     ,Te1/1/3,,
,,SFP,SFP-10G-SR          ,FNS28010971     ,Te1/1/7,,
,,SFP,SFP-10G-SR          ,JUR191403FS     ,Te1/1/8,,
HQ-56128P-01,10.0.255.111,Parent Switch,N5K-C56128P,FOC2212R0JW,,Cisco,
,,FEX-105,N2K-C2232PP-10GE,FOC19110T4L,"Fex-105 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-106,N2K-C2232PP-10GE,FOC191071L0,"Fex-106 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-107,N2K-C2232PP-10GE,FOC19106XP6,"Fex-107 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
