site_name,csv_site_id,csv_circuit_purpose,csv_provider,csv_speed,csv_monthly_cost,csv_ip_address,db_site_id,db_circuit_purpose,db_provider,db_speed,db_cost,db_ip,db_status,data_source,meraki_network_exists,has_discount_tire_tag,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_cost,meraki_wan1_ip,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_cost,meraki_wan2_ip,exclusion_reason,provider_match_status,would_get_dsr_badge
CAS 31,CAS 31 -B,,Spectrum,600.0M x 35.0M,172.23,45.59.218.178,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 32,CAS 32,,Spectrum,600.0M x 35.0M,244.45,98.153.138.150,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 33,CAS 33,,Spectrum,600.0M x 35.0M,244.45,98.153.179.158,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 34,CAS 34,,Cox Business/BOI,300.0M x 30.0M,266.67,68.15.15.104,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 34,CAS 34 -B,,AT&T Broadband II,1000.0M x 1000.0M,165.01,45.31.45.129,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 36,CAS 36,,Spectrum,600.0M x 35.0M,244.45,76.81.227.222,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 37,CAS 37,,Cox Business/BOI,300.0M x 30.0M,266.67,184.189.109.141,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 38,CAS 38,,Cox Business/BOI,300.0M x 30.0M,266.67,184.189.110.7,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 38,CAS 38 -B,,AT&T Broadband II,1000.0M x 1000.0M,165.01,107.130.10.153,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 39,CAS 39,,Spectrum,600.0M x 35.0M,172.23,173.198.38.142,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 39,CAS 39 -B,,AT&T Broadband II,300.0M x 300.0M,105.01,104.190.2.81,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 43,CAS 43,,Spectrum,600.0M x 35.0M,244.45,69.75.186.178,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 43,CAS 43 -B,,AT&T Broadband II,300.0M x 300.0M,105.01,76.210.254.185,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 44,CAS 44,,Spectrum,600.0M x 35.0M,172.23,69.75.66.142,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 44,CAS 44 -B,,AT&T Broadband II,300.0M x 300.0M,105.01,104.59.74.145,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 45,CAS 45 -B,,AT&T Broadband II,1000.0M x 1000.0M,165.01,162.196.235.249,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 47,CAS 47,,AT&T Broadband II,1000.0M x 200.0M,165.0,99.47.87.137,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 48,CAS 48- B,,EB2-Frontier Fiber,500.0M x 500.0M,245.0,47.180.235.173,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 49,CAS 49,,Spectrum,600.0M x 35.0M,172.23,76.53.67.30,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 50,CAS 50,,GTT Ethernet,50.0M x 10.0M,177.66,47.180.196.75,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 50,CAS 50 -B,,EB2-Frontier Fiber,500.0M x 500.0M,245.0,47.181.172.127,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 51,CAS 51,,Cox Business/BOI ,300.0M x 30.0M,266.67,68.15.20.182,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 51,CAS 51 -B,,AT&T Broadband II,1000.0M x 1000.0M,165.01,76.199.106.113,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 53,CAS 53,,AT&T Broadband II,2000.0M x 2000.0M,240.04,75.60.234.33,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS 53,CAS 53 -B,,Cox Business/BOI,300.0M x 30.0M,266.67,174.77.167.8,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS00,CAS00,,Cox Business/BOI,300.0M x 30.0M,266.67,98.178.226.110,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CAS00,CAS00 -B,,AT&T Broadband II,300.0M x 300.0M,105.01,76.210.250.113,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COB 01,COB 01,,Comcast Workplace,600.0M x 35.0M,234.45,50.211.228.33,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COB 01,COB 01- B,,EB2-Centurylink DSL,100.0M x 10.0M,128.0,67.40.41.89,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 02,COD 02,,Comcast Workplace,250.0M x 25.0M,186.18,96.76.171.13,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 04,COD 04,,Comcast Workplace,600.0M x 35.0M,234.45,50.190.67.161,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 05,COD 05,,Comcast Workplace,600.0M x 35.0M,234.45,70.89.171.173,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 06,COD 06,,Lumen,100.0M x 10.0M,139.99,63.231.93.145,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 07,COD 07,,Comcast Workplace,250.0M x 25.0M,186.18,50.214.21.189,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 10,COD 10,,Comcast Workplace,300.0M x 30.0M,175.56,50.190.70.173,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 11,COD 11,,Comcast Workplace,600.0M x 35.0M,234.45,75.145.115.1,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 14,COD 14,,Comcast Workplace,250.0M x 25.0M,186.18,50.246.194.125,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 18,COD 18,,Comcast Workplace,1000.0M x 35.0M,282.23,50.190.87.25,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 19,COD 19,,CenturyLink Fiber Plus,500.0M x 500.0M,600.0,63.239.214.18,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 20,COD 20,,Comcast Workplace,300.0M x 30.0M,175.56,96.78.4.81,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 21,COD 21,,CenturyLink/Qwest,40.0M x 5.0M,99.99,63.229.227.41,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 21,COD 21,,Comcast Workplace,300.0M x 30.0M,175.56,50.211.254.149,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 23,COD 23- B,,EB2-Lumen DSL,100.0M x 10.0M,128.0,67.40.43.129,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 24,COD 24,,Comcast Workplace,600.0M x 35.0M,234.45,96.69.179.121,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 25,COD 25,,Comcast Workplace,600.0M x 35.0M,234.45,50.242.141.237,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 25,COD 25- B,,EB2-Centurylink DSL,140.0M x 20.0M,151.0,67.40.41.177,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 26,COD 26,,Comcast Workplace,600.0M x 35.0M,234.45,96.66.88.141,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 26,COD 26- B,,EB2-Centurylink DSL,80.0M x 10.0M,128.0,63.229.239.225,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 27,COD 27,,Comcast Workplace,600.0M x 35.0M,234.45,50.189.36.57,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 28,COD 28,,Comcast Workplace,1000.0M x 35.0M,282.23,50.194.145.129,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 29,COD 29,,Comcast Workplace,600.0M x 35.0M,234.45,173.8.235.101,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 30,COD 30,,Comcast Workplace,300.0M x 30.0M,175.56,50.214.12.145,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 31,COD 31,,MallCom Networks,300.0M x 30.0M,289.0,192.190.112.119,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 32,COD 32,,CenturyLink/Qwest,100.0M x 10.0M,169.99,63.227.119.113,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 32,COD 32,,Comcast Workplace,300.0M x 30.0M,175.56,96.87.43.105,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 34,COD 34,,Lumen/Qwest,100.0M x 10.0M,149.99,65.103.115.121,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 35,COD 35,,LiveWire Net,75.0M x 15.0M,110.0,66.185.98.122,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 35,COD 35 -B,,Comcast Workplace,300.0M x 30.0M,175.56,96.66.73.17,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 36,COD 36,,Comcast Workplace,300.0M x 30.0M,175.56,50.189.32.85,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 37,COD 37,,Comcast Workplace,250.0M x 25.0M,186.18,50.246.196.57,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 38,COD 38,,CenturyLink/Qwest,100.0M x 10.0M,169.99,63.229.225.1,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 39,COD 39,,Comcast Workplace,250.0M x 25.0M,186.18,96.84.240.97,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 40,COD 40,,Comcast Workplace,250.0M x 25.0M,186.18,71.24.134.221,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD 42,COD 42,,Comcast Workplace,600.0M x 35.0M,234.45,23.24.156.189,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COD00,COD00,,Comcast Workplace,600.0M x 35.0M,234.45,173.164.63.45,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COG 01,COG 01,,Spectrum,600.0M x 35.0M,172.23,69.145.255.206,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COG 01,COG 01- B,,EB2-Centurylink DSL,80.0M x 10.0M,128.0,67.40.42.209,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COG 02,COG 02,,Comcast Workplace,600.0M x 35.0M,234.45,50.198.210.201,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COG 02,COG 02- B,,Community Broadband Network,100.0M x 100.0M,105.0,74.114.7.176,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COG 03,COG 03,,Spectrum,600.0M x 35.0M,244.45,47.47.138.238,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CON 02,CON 02,,Comcast Workplace,250.0M x 25.0M,186.18,50.250.132.165,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CON 03,CON 03,,Comcast Workplace,300.0M x 30.0M,175.56,70.89.171.149,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
CON 03,CON 03- B,,FORT COLLINS CONNEXION,500.0M x 500.0M,199.95,198.99.82.203,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COP 02,COP 02,,Comcast Workplace,600.0M x 35.0M,234.45,50.198.220.193,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COP 03,COP 03,,Comcast Workplace,600.0M x 35.0M,234.45,173.164.56.61,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COP 03,COP 03- B,,EB2-Centurylink DSL,100.0M x 10.0M,128.0,63.231.99.233,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COS 01,COS 01,,Comcast Workplace,600.0M x 35.0M,234.45,50.211.225.225,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COS 02,COS 02,,Comcast Workplace,250.0M x 25.0M,186.18,96.75.127.77,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COS 03,COS 03,,Comcast Workplace,250.0M x 25.0M,186.18,50.211.247.101,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COS 03,COS 03- B,,EB2-Centurylink DSL,100.0M x 10.0M,128.0,65.102.84.97,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COS 04,COS 04,,CenturyLink Fiber Plus,500.0M x 500.0M,540.0,65.155.48.154,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COS 05,COS 05,,Comcast Workplace,250.0M x 25.0M,186.18,96.87.56.41,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COS 05,COS 05-B,,Unite Private Networks,300.0M x 300.0M,699.0,104.218.131.50,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COS 06,COS 06,,Comcast Workplace,600.0M x 35.0M,234.45,96.93.223.105,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COS 07,COS 07,,Comcast Workplace,600.0M x 35.0M,234.45,50.185.12.249,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COW 01,COW 01,,Spectrum,940.0M x 35.0M,355.56,47.47.165.38,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
COW 02,COW 02,,Elevate Internet,1000.0M x 1000.0M,159.95,209.206.74.50,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLD 01,FLD 01,,AT&T Broadband II,1000.0M x 1000.0M,165.01,104.12.114.233,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLD 01,FLD 01 -B,,Spectrum,600.0M x 35.0M,172.23,97.68.164.202,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLD 02,FLD 02,,Spectrum,600.0M x 35.0M,172.23,75.112.34.214,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLD 04,FLD 04,,Spectrum,600.0M x 35.0M,244.45,67.9.119.254,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLD 04,FLD 04 -B,,AT&T Broadband II,300.0M x 300.0M,105.01,75.58.182.201,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLF 01,FLF 01,,Comcast Workplace,600.0M x 35.0M,234.45,23.31.180.221,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLG 01,FLG 01,,Cox Business/BOI,300.0M x 30.0M,266.67,70.171.147.187,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLG 02,FLG 02,,Cox Business/BOI,300.0M x 30.0M,266.67,184.180.146.204,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLG 02,FLG 02 -B,,Ocala Fiber Network,300.0M x 300.0M,300.0,67.231.63.222,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLG 03,FLG 03,,AT&T Broadband II,1000.0M x 1000.0M,165.01,76.250.234.25,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLG 03,FLG 03 -B,,Comcast Workplace,300.0M x 30.0M,175.56,96.90.0.189,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLJ 00,FLJ 00,,Comcast Workplace,300.0M x 30.0M,175.56,96.76.16.49,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLJ 00,FLJ 00 -B,,AT&T Broadband II,300.0M x 300.0M,105.01,99.27.27.113,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLJ 01,FLJ 01,,Comcast Workplace,600.0M x 35.0M,234.45,74.93.170.109,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLJ 01,FLJ 01 -B,,AT&T Broadband II,300.0M x 300.0M,105.01,104.177.152.241,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
FLJ 02,FLJ 02,,Comcast Workplace,300.0M x 30.0M,175.56,96.71.102.189,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,NOT IN DB,No,No,,,,,,,,,Not in database,Not in database,No
