hostname,ip_address,position,model,serial_number,port_location,vendor,shared_with
,,Module,C8300-1N1S-4T2X,,module F0,,
,,SFP,SFP-GE-L,FNS13290RA9,subslot 0/0 transceiver 4,,
,,SFP,GLC-SX-MMD,AGA1747RGCF,subslot 0/0 transceiver 5,,
Floater-2960-48-QA2.dtc_phx.com,10.41.3.33,Standalone,WS-C2960-48TT-L,FCQ1547X3A6,,,
SVHQTOR.DTC_PHX.COM.trtc.com,10.0.100.138,Master,WS-C3750G-48TS-S,FOC1104Y2P4,,,
,,Slave,WS-C3750G-48TS-S,FOC1107Y42Z,,,
,,SFP,Unspecified,AGM184749F8,GigabitEthernet1/0/49,,
,,SFP,Unspecified,AGM184749FA,GigabitEthernet1/0/50,,
HQ-VG350-01,172.16.4.50,Standalone,VG350/K9,FTX1939A0JG,,,
,,Module,VG350-SPE150/K9,FOC19313XL2,VG350 High Density Analog Gateway on Slot 0,,
,,Module,PVDM3-256,FOC19337284,PVDM3 DSP DIMM with 256 Channels on Slot 0 SubSlot 4,,
,,Module,SM-D-48FXS-E,FOC19335U77,High Density Analog Voice Module - 48FXS-E on Slot 2,,
,,Module,SM-D-48FXS-E,FOC19335U7X,High Density Analog Voice Module - 48FXS-E on Slot 4,,
IDF-1A-2960X-SecCam.dtc_phx.com,10.0.255.4,Standalone,WS-C2960X-24PS-L,FCW2117B29H,,,
IDF-1C-2960X-SecCam.dtc_phx.com,10.0.255.6,Standalone,WS-C2960X-24PS-L,FCW2117B29J,,,
svxgw4.dtc_phx.com,10.101.99.201,Standalone,CISCO3945-CHASSIS,FTX1434A169,,,
,,Module,C3900-SPE150/K9,FOC14300RQW,Cisco Services Performance Engine 150 for Cisco 3900 ISR on Slot 0,,
,,Module,PVDM3-64,FOC16347YRK,PVDM3 DSP DIMM with 64 Channels on Slot 0 SubSlot 4,,
IDF-1B-2960X-SecCam.dtc_phx.com,10.0.255.5,Standalone,WS-C2960X-24PS-L,FCW2117B1BD,,,
AL-MPLS-R1.dtc_phx.com,10.101.100.106,Standalone,C8300-1N1S-4T2X,FLM274610LV,,,
,,Module,C8300-1N1S-4T2X,,module 0,,
,,Module,C8300-1N1S-4T2X,,module 1,,
,,Module,C8300-1N1S-4T2X,FDO27410DQF,module R0,,
,,Module,C8300-1N1S-4T2X,,module F0,,
,,SFP,SFP-GE-L,FNS140708XX,subslot 0/0 transceiver 4,,
,,SFP,SFP-GE-S,FNS132701M6,subslot 0/0 transceiver 5,,
HQ-VG350-02,172.16.4.51,Standalone,VG350/K9,FTX1939A0JH,,,
,,Module,VG350-SPE150/K9,FOC19313XP6,VG350 High Density Analog Gateway on Slot 0,,
,,Module,PVDM3-256,FOC19337286,PVDM3 DSP DIMM with 256 Channels on Slot 0 SubSlot 4,,
,,Module,SM-D-48FXS-E,FOC19335U7M,High Density Analog Voice Module - 48FXS-E on Slot 2,,
,,Module,SM-D-48FXS-E,FOC19348M9N,High Density Analog Voice Module - 48FXS-E on Slot 4,,
IDF-2A-2960CX-SecCam.dtc_phx.com,10.0.255.7,Standalone,WS-C2960CX-8PC-L,FOC2122Z0V8,,,
HQ-56128P-01,10.0.255.111,Parent Switch,N5K-C56128P,FOC2212R0JW,,Cisco,
,,FEX-105,"Fabric Extender Module: 32x10GE, 8x10GE",SSI190406MF,Fex-105 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-106,"Fabric Extender Module: 32x10GE, 8x10GE",SSI190406PC,Fex-106 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-107,"Fabric Extender Module: 32x10GE, 8x10GE",SSI1905004R,Fex-107 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-108,"Fabric Extender Module: 32x10GE, 8x10GE",SSI190406YQ,Fex-108 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-109,"Fabric Extender Module: 32x10GE, 8x10GE",SSI19040A5V,Fex-109 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-110,"Fabric Extender Module: 32x10GE, 8x10GE",SSI19040A5L,Fex-110 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-111,"Fabric Extender Module: 32x10GE, 8x10GE",SSI1820046S,Fex-111 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-112,"Fabric Extender Module: 32x10GE, 8x10GE",SSI182005WX,Fex-112 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-113,"Fabric Extender Module: 48x1GE, 4x10GE",SSI14100CWJ,Fex-113 Nexus2248TP-1GE Chassis,Cisco,HQ-56128P-02
,,FEX-114,"Fabric Extender Module: 48x1GE, 4x10GE",SSI141400J5,Fex-114 Nexus2248TP-1GE Chassis,Cisco,HQ-56128P-02
,,FEX-120,"Fabric Extender Module: 16x10GE, 8x10GE",FOC1648R1EL,Fex-120 Nexus2200DELL Chassis,Cisco,HQ-56128P-02
,,FEX-121,"Fabric Extender Module: 16x10GE, 8x10GE",FOC1652R005,Fex-121 Nexus2200DELL Chassis,Cisco,HQ-56128P-02
,,FEX-122,"Fabric Extender Module: 16x10GE, 8x10GE",FOC1646R08H,Fex-122 Nexus2200DELL Chassis,Cisco,HQ-56128P-02
,,FEX-123,"Fabric Extender Module: 32x10GE, 8x10GE",SSI182005WW,Fex-123 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-124,"Fabric Extender Module: 32x10GE, 8x10GE",SSI182000T9,Fex-124 Nexus2232PP-10GE Chassis,Cisco,HQ-56128P-02
,,FEX-125,"Fabric Extender Module: 16x10GE, 8x10GE",FOC1747R0PN,Fex-125 Nexus2200DELL Chassis,Cisco,HQ-56128P-02
,,Module,N5K-C56128P,FOC22110X9M,Nexus 56128P Supervisor in Fixed Module-1,,
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC19110T4L,"Fex-105 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC191071L0,"Fex-106 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC19106XP6,"Fex-107 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC19110T51,"Fex-108 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC19110RYM,"Fex-109 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC19110RZJ,"Fex-110 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC18275F2H,"Fex-111 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC18275F8J,"Fex-112 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 48x1GE, 4x10GE-N2K-C2248TP-1GE",JAF1416DDHJ,"Fex-113 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 48x1GE, 4x10GE-N2K-C2248TP-1GE",JAF1416BLLC,"Fex-114 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 16x10GE, 8x10GE-N2K-B22DELL-P",FOC16470GM1,"Fex-120 Fabric Extender Module: 16x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 16x10GE, 8x10GE-N2K-B22DELL-P",FOC16520U1R,"Fex-121 Fabric Extender Module: 16x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 16x10GE, 8x10GE-N2K-B22DELL-P",FOC16454DF7,"Fex-122 Fabric Extender Module: 16x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC18275F81,"Fex-123 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC18275F9U,"Fex-124 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,Module,"Fabric Extender Module: 16x10GE, 8x10GE-N2K-B22DELL-P",FOC174624GD,"Fex-125 Fabric Extender Module: 16x10GE, 8x10GE in FixedModule-1",,HQ-56128P-02
,,SFP,N56-M24UP2Q,FOC18394S23,24 ports 10GE SFP+ and 2xQSFP ports Ethernet Module,,
,,SFP,N56-M24UP2Q,FOC20210ELJ,24 ports 10GE SFP+ and 2xQSFP ports Ethernet Module,,
HQ-56128P-02,10.0.255.112,Standalone,N5K-C56128P,FOC1827R16P,,,
,,Module,N5K-C56128P,FOC18303653,Nexus 56128P Supervisor in Fixed Module-1,,
,,SFP,N56-M24UP2Q,FOC182778Q6,24 ports 10GE SFP+ and 2xQSFP ports Ethernet Module,,
,,SFP,N56-M24UP2Q,FOC183211E5,24 ports 10GE SFP+ and 2xQSFP ports Ethernet Module,,
AL-5000-01,10.101.145.125,Parent Switch,N5K-C5010P-BF,SSI14120T8P,,Cisco,
,,FEX-105,"Fabric Extender Module: 48x1GE, 4x10GE",SSI141109BL,Fex-105 Nexus2248 Chassis,Cisco,AL-5000-02
,,FEX-106,"Fabric Extender Module: 48x1GE, 4x10GE",SSI141302GP,Fex-106 Nexus2248 Chassis,Cisco,AL-5000-02
,,Module,"Fabric Extender Module: 48x1GE, 4x10GE",JAF1415CKKF,"Fex-105 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1",,AL-5000-02
,,Module,"Fabric Extender Module: 48x1GE, 4x10GE",JAF1416BLFJ,"Fex-106 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1",,AL-5000-02
,,SFP,N5K-C5010P-BF,JAF1417AFMD,20 port 10GE SFP+/Supervisor in Fixed Module-1,,
AL-5000-02,10.101.145.126,Standalone,N5K-C5010P-BF,SSI14150MJB,,,
,,SFP,N5K-C5010P-BF,JAF1417DCKR,20 port 10GE SFP+/Supervisor in Fixed Module-1,,
AL-7000-01-CORE,10.101.255.244,Standalone,N7K-C7010,TBM13205522,,,
,,Module,N7K-F312FQ-25,JAE191207AL,10/40 Gbps Ethernet Module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-SUP2E,JAE19150EWX,Supervisor Module-2,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-SUP2E,JAE1914000P,Supervisor Module-2,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-F312FQ-25,JAE191208KP,10/40 Gbps Ethernet Module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-F312FQ-25,JAE19100085,10/40 Gbps Ethernet Module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-F248XP-25E,JAE1915099A,1/10 Gbps Ethernet Module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-F248XP-25E,JAE191509BS,1/10 Gbps Ethernet Module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACJP,Fabric card module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACJH,Fabric card module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACNF,Fabric card module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACKC,Fabric card module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACPD,Fabric card module,,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR4,JFQ202020FW,Transceiver(slot:1-port:1),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1843U62H,Transceiver(slot:1-port:2),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR4,AVP2018S0CC,Transceiver(slot:1-port:3),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR4,JFQ202020QX,Transceiver(slot:1-port:5),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR4,JFQ202120B3,Transceiver(slot:1-port:7),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR4,JFQ2017208S,Transceiver(slot:1-port:9),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR4,JFQ2021203P,Transceiver(slot:1-port:11),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6C6,Transceiver(slot:7-port:1),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5VL,Transceiver(slot:7-port:2),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5VY,Transceiver(slot:7-port:3),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5VZ,Transceiver(slot:7-port:4),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5W1,Transceiver(slot:7-port:5),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6CP,Transceiver(slot:7-port:6),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6CL,Transceiver(slot:7-port:7),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5W0,Transceiver(slot:7-port:8),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6QP,Transceiver(slot:7-port:9),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6QM,Transceiver(slot:7-port:11),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6QY,Transceiver(slot:8-port:1),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5VH,Transceiver(slot:8-port:2),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6QW,Transceiver(slot:8-port:3),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6QN,Transceiver(slot:8-port:4),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6QL,Transceiver(slot:8-port:5),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6QZ,Transceiver(slot:8-port:6),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6C1,Transceiver(slot:8-port:7),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5VX,Transceiver(slot:8-port:8),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6R1,Transceiver(slot:8-port:9),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6QQ,Transceiver(slot:8-port:11),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191403F3,Transceiver(slot:9-port:1),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191403F2,Transceiver(slot:9-port:2),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191400GL,Transceiver(slot:9-port:3),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191403F1,Transceiver(slot:9-port:4),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191400KA,Transceiver(slot:9-port:5),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191404JM,Transceiver(slot:9-port:6),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191403FR,Transceiver(slot:9-port:9),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191403FP,Transceiver(slot:9-port:10),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191310VW,Transceiver(slot:9-port:12),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR19130U15,Transceiver(slot:9-port:13),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR1913111P,Transceiver(slot:9-port:14),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR1913111U,Transceiver(slot:9-port:15),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR2005G08N,Transceiver(slot:9-port:16),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-LR,ECL152401LL,Transceiver(slot:9-port:20),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,SPC141103MF,Transceiver(slot:9-port:36),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR19130SB4,Transceiver(slot:10-port:1),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR19130ZRY,Transceiver(slot:10-port:2),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR19130ZLP,Transceiver(slot:10-port:4),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR19130ZM4,Transceiver(slot:10-port:5),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR19130ZS0,Transceiver(slot:10-port:6),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR19130ZLN,Transceiver(slot:10-port:9),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-LR,FNS23080P29,Transceiver(slot:10-port:12),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,SPC141103EG,Transceiver(slot:10-port:25),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR191310J8,Transceiver(slot:10-port:26),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,SPC141103EA,Transceiver(slot:10-port:36),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,JUR19130ZRM,Transceiver(slot:10-port:46),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
,,SFP,SFP-10G-SR,SPC141101H8,Transceiver(slot:10-port:48),,"AL-7000-01-ADMIN, AL-7000-01-EDGE, AL-7000-01-PCI"
AL-7000-02-CORE,10.0.184.20,Standalone,N7K-C7010,TBM13250072,,,
,,Module,N7K-F312FQ-25,JAE191208KU,10/40 Gbps Ethernet Module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-SUP2E,JAE1915031M,Supervisor Module-2,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-SUP2E,JAE1915032L,Supervisor Module-2,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-F312FQ-25,JAE19100084,10/40 Gbps Ethernet Module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-F312FQ-25,JAE191208L7,10/40 Gbps Ethernet Module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-F248XP-25E,JAE191509AC,1/10 Gbps Ethernet Module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-F248XP-25E,JAE191509D6,1/10 Gbps Ethernet Module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACEK,Fabric card module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACGA,Fabric card module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACKF,Fabric card module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACFF,Fabric card module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,Module,N7K-C7010-FAB-2,JAF1903ACFN,Fabric card module,,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR4,AVP1830S46G,Transceiver(slot:1-port:1),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1843U62K,Transceiver(slot:1-port:2),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR4,AVP1831S0RA,Transceiver(slot:1-port:3),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR4,AVP1831S196,Transceiver(slot:1-port:5),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR4,AVP1830S1S1,Transceiver(slot:1-port:7),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR4,JFQ202020TT,Transceiver(slot:1-port:9),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR4,JFQ2021201P,Transceiver(slot:1-port:11),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5LE,Transceiver(slot:7-port:1),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5LB,Transceiver(slot:7-port:2),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5LC,Transceiver(slot:7-port:3),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5LD,Transceiver(slot:7-port:4),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5T1,Transceiver(slot:7-port:5),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6CT,Transceiver(slot:7-port:6),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U6R5,Transceiver(slot:7-port:7),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5LU,Transceiver(slot:7-port:8),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5LS,Transceiver(slot:7-port:9),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5LV,Transceiver(slot:7-port:11),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5VJ,Transceiver(slot:8-port:1),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5VK,Transceiver(slot:8-port:2),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5W5,Transceiver(slot:8-port:3),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5W3,Transceiver(slot:8-port:4),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5W4,Transceiver(slot:8-port:5),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
,,SFP,QSFP-40G-SR-BD,AVM1842U5W2,Transceiver(slot:8-port:6),,"AL-7000-02-ADMIN, AL-7000-02-EDGE, AL-7000-02-PCI"
