hostname,ip_address,position,model,serial_number,port_location,vendor,shared_with
,,Module,800-27645-02,FDO151615AP,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO151614LG,Switch 1 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO16020N9T,Switch 2 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO16020N8S,Switch 2 - Slot 2 - TwinGig Converter Module,,
Alameda-IDFB-3750-Stack.dtc_phx.com,10.101.255.60,Standalone,WS-C3750-48PS-S,CAT0847R1TZ,,,
,,SFP,Unspecified,AGS084401JC,GigabitEthernet1/0/1,,
,,SFP,Unspecified,FNS0846B2E1,GigabitEthernet1/0/2,,
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,Master,WS-C3750-48PS-S,FDO1239X2T6,,,
,,Slave,WS-C3750-48PS-S,FDO1239X2T0,,,
,,Slave,WS-C3750-48PS-S,FDO1239X2PZ,,,
,,Slave,WS-C3750-48PS-S,FDO1421X2Z7,,,
,,SFP,Unspecified,FNS12410ENQ,GigabitEthernet1/0/1,,
,,SFP,Unspecified,FNS111711YV,GigabitEthernet1/0/3,,
,,SFP,Unspecified,AGM12491920,GigabitEthernet2/0/1,,
,,SFP,Unspecified,FNS111711YX,GigabitEthernet2/0/3,,
,,SFP,Unspecified,FNS111711H1,GigabitEthernet2/0/4,,
,,SFP,Unspecified,FNS12420JKG,GigabitEthernet3/0/1,,
Alameda-IDFD-3750-Stack.dtc_phx.com,10.101.255.80,Standalone,WS-C3750-48PS-S,FDO1239X2TA,,,
,,SFP,Unspecified,FNS12370NSR,GigabitEthernet1/0/1,,
,,SFP,Unspecified,FNS14141W1R,GigabitEthernet1/0/2,,
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,Master,WS-C3750V2-48PS-S,FDO1738Y16S,,,
,,Slave,WS-C3750V2-48PS-S,FDO1738Y19V,,,
,,Slave,WS-C3750V2-48PS-S,FDO1738Y02E,,,
,,SFP,Unspecified,FNS12410EP2,GigabitEthernet1/0/1,,
,,SFP,Unspecified,FNS111711YP,GigabitEthernet1/0/2,,
,,SFP,Unspecified,AGM140616AD,GigabitEthernet3/0/1,,
,,SFP,SFP-GE-S,FNS132700J1,GigabitEthernet3/0/2,,
