id,network_name,device_tags,wan1_provider,wan1_speed,wan1_circuit_role,wan1_confirmed,wan2_provider,wan2_speed,wan2_circuit_role,wan2_confirmed,last_updated,created_at,pushed_to_meraki,pushed_date,wan1_ip,wan2_ip,wan1_arin_org,wan2_arin_org
25039,ALM 02,,Spectrum,300.0M x 20.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25075,AZP 09,,Cox Business/BOI,300.0M x 30.0M,Primary,True,EB2-Lumen DSL,100.0M x 10.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25082,AZP 18,,Cox Business/BOI,300.0M x 30.0M,Primary,True,EB2-CenturyLink DSL,80.0M x 10.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25090,AZP 26,,Cox Business/BOI,300.0M x 30.0M,Primary,True,EB2-Centurylink DSL,100.0M x 10.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25091,AZP 27,,Cox Business/BOI,300.0M x 30.0M,Primary,True,CenturyLink/Qwest,40.0M x 20.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25092,AZP 28,,Cox Business/BOI,500.0M x 50.0M,Primary,True,CenturyLink/Qwest,140.0M x 20.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25093,AZP 29,,Cox Business/BOI,300.0M x 30.0M,Primary,True,EB2-Lumen DSL,140.0M x 20.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25094,AZP 30,,Cox Business/BOI,300.0M x 30.0M,Primary,True,EB2-Centurylink DSL,100.0M x 10.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25116,AZP 54,,Cox Business/BOI,300.0M x 30.0M,Primary,True,CenturyLink/Qwest,100.0M x 10.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25137,AZT 13,,Cox Business/BOI,300.0M x 30.0M,Primary,True,GTT ESA2 ADSL,12.0M x 1.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25148,CAL 07,,AT&T Broadband II,300.0M x 300.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25245,CAS_00,,AT&T,,Primary,True,Cox Communications,,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
27848,Igor Lab,['Lab'],Unknown,,Primary,False,,,Secondary,False,2025-07-07 11:46:47.102071,2025-07-07 11:46:47.102071,False,,,,,
27849,BSM Test Network,['Lab'],BSM Lab in the Test Lab area of Scottsdale HQ,,Primary,False,,,Secondary,False,2025-07-07 11:46:47.102071,2025-07-07 11:46:47.102071,False,,,,,
27893,NEO 03 TEMP,['Lab'],,,Primary,False,,,Secondary,False,2025-07-07 11:46:47.102071,2025-07-07 11:46:47.102071,False,,,,,
25224,CAN 45,,AT&T Broadband II,300.0M x 300.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25225,CAN 46,,AT&T Broadband II,1000.0M x 1000.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25183,CAL W01,,Frontier Fiber,1000.0M x 1000.0M,Primary,True,Digi,Cell,Secondary,True,2025-07-09 06:51:11.440971,2025-07-07 09:50:02.793660,True,2025-07-09 06:51:11.440971,,,,
25229,CAN 50,,Comcast Workplace,250.0M x 25.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25230,CAN 51,,Spectrum,600.0M x 35.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25234,CAN 55,,Comcast Workplace,300.0M x 30.0M,Primary,True,Succeed-net,100.0M x 7.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25038,ALM 01,,Spectrum,600.0M x 35.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25041,ALM 04,,AT&T Broadband II,1000.0M x 1000.0M,Primary,True,Spectrum,600.0M x 35.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25046,ARL 01,,AT&T Broadband II,1000.0M x 1000.0M,Primary,True,Comcast Workplace,1000.0M x 35.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25056,ARO 05,,Yelcot Communications,300.0M x 30.0M,Primary,True,Ritter Communications,250.0M x 250.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25086,AZP 22,,Cox Business/BOI,300.0M x 30.0M,Primary,True,EB2-Centurylink DSL,100.0M x 10.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25142,CAL 01,,Spectrum,600.0M x 35.0M,Primary,True,EB2-Frontier Fiber,500.0M x 500.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25181,CAL 49,,AT&T Broadband II,1000.0M x 1000.0M,Primary,True,Spectrum,600.0M x 35.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25188,CAN 05,,Comcast Workplace,600.0M x 35.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25191,CAN 11,,Comcast Workplace,600.0M x 35.0M,Primary,True,AT&T Cell,cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25193,CAN 13,,Comcast Workplace,250.0M x 25.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25197,CAN 17,,Comcast Workplace,300.0M x 30.0M,Primary,True,AT&T Broadband,45.0M x 6.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25199,CAN 19,,Spectrum,600.0M x 35.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25201,CAN 21,,Comcast Workplace,600.0M x 35.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25202,CAN 22,,Comcast Workplace,15.0M x 15.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25209,CAN 30,,AT&T Broadband II,1000.0M x 1000.0M,Primary,True,Comcast,300.0 M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
