site_name,record_number,circuit_purpose,provider_name,details_service_speed,status,manual_override,data_source
CAL 05,DISCOUNTCAL4103904918_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 06,DISCOUNTCAL9209835406_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 07,DISCOUNTCAL8391248264_BR,Primary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAL 08,DISCOUNTCAL1733466762_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 08,DISCOUNTCAL6841614725_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAL 09,DISCOUNTCAL8901803514_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 09,DISCOUNTCAL4668890272_BR,Secondary,EB2-Frontier Fiber,500.0M x 500.0M,Enabled,False,csv_import
CAL 10,DISCOUNTCAL2658589107_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 11,DISCOUNTCAL5607577212_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
CAL 12,DISCOUNTCAL7129272469_BR,Primary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
CAL 13,DISCOUNTCAL9603829763_BR,Primary,EB2-Frontier Fiber,1000.0M x 1000.0M,Enabled,False,csv_import
CAL 14,DISCOUNTCAL4981267666_BR,Primary,One Ring Networks,300.0M x 30.0M,Enabled,False,csv_import
CAL 15,DISCOUNTCAL9362557283_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 17,,Primary,Frontier,,Enabled,False,Non-DSR
CAL 18,DISCOUNTCAL4700178330_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 19,DISCOUNTCAL7115232675_BR,Primary,AT&T Broadband II,1000.0M x 200.0M,Enabled,False,csv_import
CAL 20,,Primary,Frontier,,Enabled,False,Non-DSR
CAL 21,DISCOUNTCAL3241439253_BR,Primary,AT&T Broadband,45.0M x 6.0M,Enabled,False,csv_import
CAL 21,DISCOUNTCAL3036811507_BR-I1,Secondary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
CAL 22,DISCOUNTCAL2857281139_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 22,DISCOUNTCAL6612495121_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAL 23,DISCOUNTCAL2331364742_BR-I3,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 23,DISCOUNTCAL3869862912_BR,Secondary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
CAL 24,,Primary,Frontier,,Enabled,False,Non-DSR
CAL 24,,Primary,Frontier Fios,,Enabled,False,csv_import
CAL 26,DISCOUNTAME9589837963_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 26,DISCOUNTCAL7179469868_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAL 28,DISCOUNTCAL8156909426_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 29,,Primary,Frontier,,Enabled,False,Non-DSR
CAL 31,DISCOUNTCAL2959974847_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 33,DISCOUNTCAL1020362676_BR,Primary,Comcast Workplace,600.0M x 35.0M,Enabled,False,csv_import
CAL 35,DISCOUNTCAL8263813242_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 35,DISCOUNTCAL4336235973_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAL 37,DISCOUNTCAL4400665104_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 38,DISCOUNTCAL8189439450_BR,Primary,Spectrum,300.0M x 20.0M,Enabled,False,csv_import
CAL 40,DISCOUNTCAL1288167252_BR,Primary,AT&T Broadband II,1000.0M x 200.0M,Enabled,False,csv_import
