hostname,ip_address,device_family,module_model
HQ-7000-01-CORE.dtc_phx.com,10.0.100.194,Cisco Other,N7K-F248XP-25E
HQ-7000-01-CORE.dtc_phx.com,10.0.255.239,Cisco Other,N7K-F312FQ-25
HQ-7000-01-CORE.dtc_phx.com,10.0.255.239,Cisco Other,GLC-SX-MMD          
HQ-7000-01-CORE.dtc_phx.com,10.0.255.239,Cisco Other,N7K-F248XP-25E
HQ-7000-01-CORE.dtc_phx.com,10.0.100.194,Cisco Other,N7K-SUP2E
HQ-7000-01-EDGE,10.0.145.2,Cisco Other,N7K-C7010-FAB-2
HQ-7000-01-EDGE,10.0.145.2,Cisco Other,N7K-SUP2E
HQ-7000-01-EDGE,10.0.145.2,Cisco Other,GLC-SX-MMD          
HQ-7000-01-EDGE,10.0.145.2,Cisco Other,N7K-F312FQ-25
HQ-7000-01-EDGE,10.0.145.2,Cisco Other,N7K-F248XP-25E
HQ-7000-01-PCI.dtc_phx.com,10.0.179.2,Cisco Other,GLC-SX-MMD          
HQ-7000-01-PCI.dtc_phx.com,10.0.179.2,Cisco Other,N7K-F312FQ-25
HQ-7000-01-PCI.dtc_phx.com,10.0.179.2,Cisco Other,N7K-F248XP-25E
HQ-7000-01-PCI.dtc_phx.com,10.0.179.2,Cisco Other,N7K-SUP2E
HQ-7000-01-PCI.dtc_phx.com,10.0.179.2,Cisco Other,N7K-C7010-FAB-2
HQ-7000-02-ADMIN,10.0.145.124,Cisco Other,N7K-C7010-FAB-2
HQ-7000-02-ADMIN,10.0.145.124,Cisco Other,N7K-F248XP-25E
HQ-7000-02-ADMIN,10.0.145.124,Cisco Other,N7K-SUP2E
HQ-7000-02-ADMIN,10.0.145.124,Cisco Other,GLC-SX-MMD          
HQ-7000-02-ADMIN,10.0.145.124,Cisco Other,N7K-F312FQ-25
HQ-7000-02-CORE.dtc_phx.com,10.0.100.210,Cisco Other,N7K-F312FQ-25
HQ-7000-02-CORE.dtc_phx.com,10.0.100.210,Cisco Other,GLC-SX-MMD          
HQ-7000-02-CORE.dtc_phx.com,10.0.100.210,Cisco Other,N7K-SUP2E
