Site Name,Network Name (Enriched),Enriched WAN1 Provider,Enriched WAN1 Speed,Enriched WAN1 Role,Enriched WAN2 Provider,Enriched WAN2 Speed,Enriched WAN2 Role,Meraki WAN1 IP,Meraki WAN2 IP,Meraki WAN1 ARIN Provider,Meraki WAN2 ARIN Provider,Meraki Notes,DSR Primary Provider,DSR Primary Speed,DSR Primary IP,DSR Secondary Provider,DSR Secondary Speed,DSR Secondary IP
TXH_00,TXH_00,AT&T,300.0 M,Primary,Comcast,300.0 M,Secondary,162.201.19.73,96.85.28.9,Unknown,Unknown,"WAN 1
AT&T
300.0M x 300.0M
WAN 2
Comcast
300.0M x 30.0M",,,,,,
TXHT00,TXHT00,Comcast,300.0 M,Primary,Unknown,,Secondary,75.148.163.185,0.0.0.0,Unknown,Private IP,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Unknown",,,,,,
UTS 02,UTS 02,Comcast,300.0 M,Primary,Digi,Cell,Secondary,96.73.19.25,166.184.137.240,Unknown,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 30.0M
WAN 2
Digi
Cell",,,,,,
UTS 07,UTS 07,Comcast,300.0 M,Primary,DSR Lumen DSL,80.0M x 10.0M,Secondary,96.92.90.13,65.100.251.198,Comcast,"CenturyLink Communications, LLC","WAN 1
Comcast
300.0M x 35.0M
WAN 2
DSR Lumen DSL
80.0M x 10.0M",,,,EB2-Lumen DSL,80.0M x 10.0M,65.100.251.193
UTS 11,UTS 11,Comcast,300.0 M,Primary,Centracom,300.0M x 30.0M,Secondary,50.198.188.101,64.77.208.93,Comcast,Unknown,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Centracom
300.0M x 30.0M",,,,Centracom,300.0M x 30.0M,64.77.208.93
UTS 15,UTS 15,Comcast,600.0 M,Primary,VZW Cell,Cell,Secondary,50.77.46.93,166.248.10.40,Comcast,Verizon Business,"WAN 1
Comcast
600.0M x 35.0M
WAN 2
VZW Cell
Cell",,,,,,
UTS 16,UTS 16,Comcast,300.0 M,Primary,DSR CLink,100.0M x 10.0M,Secondary,96.73.18.105,65.100.251.161,Comcast,Crossroads Plaza Associates,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
DSR CLink
100.0M x 10.0M",,,,EB2-Lumen DSL,100.0M x 10.0M,65.100.251.161
UTS 17,UTS 17,Comcast,300.0 M,Primary,Verizon Business,Cell,Secondary,96.73.31.129,166.248.10.39,Comcast,Unknown,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Verizon Business",,,,,,
UTS 19,UTS 19,Comcast,300.0 M,Primary,VZW Cell,Cell,Secondary,173.14.230.17,166.248.9.53,Comcast,Verizon Business,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
VZW Cell
Cell",,,,,,
UTS 26,UTS 26,Infowest Inc,250.0 M,Primary,VZW Cell,Cell,Secondary,209.33.214.82,174.247.148.52,Unknown,Verizon Business,"WAN 1
Infowest Inc
250.0M x 250.0M
WAN 2
VZW Cell
Cell",,,,Infowest Inc,250.0M x 250.0M,209.33.214.82
UTS W01,UTS W01,Comcast,600.0 M,Primary,Digi,Cell,Secondary,50.208.244.41,166.184.158.66,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
600.0M x 35.0M
WAN 2
Digi
Cell",,,,,,
UTS W02,UTS W02,DSR Comcast Cable,600.0 M,Primary,VZW Cell,Cell,Secondary,50.215.217.150,166.168.231.163,"Comcast Cable Communications, LLC",Verizon Business,"WAN 1
DSR Comcast Cable
600.0M x 35.0M
WAN 2
VZW Cell
Cell",,,,,,
VAF 01 - appliance,VAF 01 - appliance,Comcast,250.0 M,Primary,Digi,Cell,Secondary,50.211.60.57,166.184.103.92,Unknown,"AT&T Enterprises, LLC","WAN 1
Comcast
250.0M x 25.0M
WAN 2
Digi
Cell",,,,,,
VAR 01,VAR 01,Comcast,300.0 M,Primary,VZW Cell,Cell,Secondary,75.150.59.61,107.85.158.120,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 30.0M
WAN 2
VZW Cell
Cell",,,,,,
VAR_00,VAR_00,Comcast,600.0 M,Primary,Digi,Cell,Secondary,50.210.2.145,107.85.137.141,Unknown,"AT&T Enterprises, LLC","WAN 1
Comcast
600.0M x 35.0M
WAN 2
Digi
Cell",,,,,,
WAE 01,WAE 01,Comcast,300.0 M,Primary,Verizon Business,Cell,Secondary,50.245.147.185,166.248.7.34,Comcast,Unknown,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Verizon Business",,,,,,
WAE 02,WAE 02,Comcast,300.0 M,Primary,Verizon Business,Cell,Secondary,173.160.129.105,166.248.10.12,Comcast,Unknown,"WAN 1
Comcast
300.0M x 300.0M
WAN 2
Verizon Business",,,,,,
WAS 09,WAS 09,Comcast,300.0 M,Primary,Digi,Cell,Secondary,173.160.199.17,166.184.138.128,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 30.0M
WAN 2
Digi
Cell",,,,,,
WAS 11,WAS 11,Comcast,300.0 M,Primary,Digi,Cell,Secondary,96.74.20.73,166.184.132.102,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 30.0M
WAN 2
Digi
Cell",,,,,,
WAS 14,WAS 14,Comcast,300.0 M,Primary,Digi,Cell,Secondary,75.151.126.225,166.184.131.38,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 30.0M
WAN 2
Digi
Cell",,,,,,
WAS 23,WAS 23,ComcastAgg CLink,10.0 M,Primary,Digi,Cell,Secondary,65.101.138.25,107.84.141.91,Unknown,Unknown,"WAN 1
ComcastAgg CLink
10.0M x 1.0M
WAN 2
Digi
Cell",,,,,,
WAS W00,WAS W00,Comcast,200.0 M,Primary,Digi Cell,Cell,Secondary,50.210.47.185,166.184.139.176,Unknown,Unknown,"WAN 1
Comcast
200.0M x 200.0M
WAN 2
Digi Cell
Cell",,,,,,
WDTD 01,WDTD 01,AT&T,1000.0 M,Primary,ATT,100.0 M,Secondary,107.132.157.73,166.168.180.168,AT&T,Verizon Business,"WAN 1
AT&T
1000.0M x 1000.0M
WAN 2
ATT
100.0M x 10.0M",,,,,,
