Site Name,Confidence Score,Status,Reasons,WAN1 Provider,WAN1 Role,WAN1 IP,WAN1 ARIN,WAN2 Provider,WAN2 Role,WAN2 IP,WAN2 ARIN,DSR Primary Provider,DSR Primary IP,DSR Secondary Provider,DSR Secondary IP
CAS 14,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.250.153.129,AT&T,Cox Business/BOI,Secondary,68.105.244.238,Cox Communications,Cox Business/BOI,68.105.244.238,AT&T Broadband II,108.250.153.129
CAS 18,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.190.5.209,AT&T,Cox Business/BOI,Secondary,68.105.250.171,Cox Communications,Cox Business/BOI,68.105.250.171,AT&T Broadband II,104.190.5.209
CAS 25,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.80.80.249,AT&T,Spectrum,Secondary,24.43.80.98,Charter Communications,Spectrum,24.43.80.98,AT&T Broadband II,108.80.80.249
CAS 28,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,75.26.3.237,AT&T,Cox Business/BOI,Secondary,68.15.9.83,Cox Communications,Cox Business/BOI,68.15.9.83,AT&T Broadband II,75.26.3.233
CAS 34,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,45.31.45.129,AT&T,Cox Business/BOI,Secondary,68.15.15.104,Cox Communications,Cox Business/BOI,68.15.15.104,AT&T Broadband II,45.31.45.129
CAS 38,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,107.130.10.153,AT&T,Cox Business/BOI,Secondary,184.189.110.7,Cox Communications,Cox Business/BOI,184.189.110.7,AT&T Broadband II,107.130.10.153
CAS 44,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.59.74.145,AT&T,Spectrum,Secondary,69.75.66.142,Charter Communications,Spectrum,69.75.66.142,AT&T Broadband II,104.59.74.145
CAS 50,4,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1,EB2-Frontier Fiber,Primary,47.181.172.127,Frontier Communications,GTT Ethernet,Secondary,47.180.196.75,Frontier Communications,GTT Ethernet,47.180.196.75,EB2-Frontier Fiber,47.181.172.127
COD 35,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Comcast Workplace,Primary,96.66.73.17,Comcast,LiveWire Net,Secondary,66.185.98.122,"Live Wire Networks, Inc",LiveWire Net,66.185.98.122,Comcast Workplace,96.66.73.17
CON 03,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,FORT COLLINS CONNEXION,Primary,198.99.82.203,AT&T,Comcast Workplace,Secondary,70.89.171.149,Comcast,Comcast Workplace,70.89.171.149,FORT COLLINS CONNEXION,198.99.82.203
COS 05,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Unite Private Networks,Primary,104.218.131.50,Unite Private Networks LLC.,Comcast Workplace,Secondary,96.87.56.41,Comcast,Comcast Workplace,96.87.56.41,Unite Private Networks,104.218.131.50
FLG 02,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,Ocala Fiber Network,Primary,67.231.63.222,Ocala Fiber Network,Cox Business/BOI,Secondary,184.180.146.204,Cox Communications,Cox Business/BOI,184.180.146.204,Ocala Fiber Network,67.231.63.222
FLJ 06,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,76.237.130.241,AT&T,Comcast Workplace,Secondary,96.65.55.85,Comcast,Comcast Workplace,96.65.55.85,AT&T Broadband II,76.237.130.241
FLJ 09,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,AT&T Broadband II,Primary,99.27.29.17,AT&T,Comcast Workplace,Secondary,173.8.36.41,Cisco Test,Comcast Workplace,173.8.36.41,AT&T Broadband II,99.27.29.17
FLO 03,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,68.95.180.85,AT&T,Spectrum,Secondary,71.41.117.78,Charter Communications,Spectrum,71.41.117.78,AT&T Broadband II,68.95.180.81
FLO 07,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,172.2.223.173,AT&T,Spectrum,Secondary,45.3.130.82,Charter Communications,Spectrum,45.3.130.82,AT&T Broadband II,172.2.223.169
GAA 08,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.205.237.113,AT&T,Comcast Workplace,Secondary,96.87.236.113,Comcast,Comcast Workplace,96.87.236.113,AT&T Broadband II,162.205.237.113
GAA 19,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,75.33.170.97,AT&T,Spectrum,Secondary,96.38.200.190,Charter Communications,Spectrum,96.38.200.190,AT&T Broadband II,75.33.170.97
GAA 33,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.230.155.225,AT&T,Comcast Workplace,Secondary,96.73.212.193,Comcast,Comcast Workplace,96.73.212.193,AT&T Broadband II,162.230.155.225
GAA 34,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.209.98.49,AT&T,Comcast Workplace,Secondary,96.89.79.69,Comcast,Comcast Workplace,96.89.79.69,AT&T Broadband II,108.209.98.49
GAA 35,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,70.228.103.225,AT&T,Comcast Workplace,Secondary,50.248.240.73,Comcast,Comcast Workplace,50.248.240.73,AT&T Broadband II,70.228.103.225
