Site Name,Interface,Status,DSR Provider,ARIN Provider,Match,Action Taken
CAN 34,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 36,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAN 38,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 41,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 42,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 43,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 44,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 45,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 46,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 47,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 48,WAN1,MATCH,Spectrum,Charter Communications LLC,Yes,Updated
CAN 49,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 50,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 51,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAN 52,WAN1,MATCH,Consolidated Communications,"Consolidated Communications, Inc.",Yes,Updated
CAN 54,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 55,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 56,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 57,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 60,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 61,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAO 01,WAN1,MATCH,AT&T,AT&T,Yes,Updated
CAO 01,WAN1,MATCH,AT&T,AT&T,Yes,Updated
CAO 05,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAS_00,WAN1,MATCH,AT&T,AT&T,Yes,Updated
CAS 01,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
CAS 06,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAS 07,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAS 09,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
