hostname,ip_address,component_type,model,serial_number,description,name,stack_position
IDF1B-4510-SW1.trtc.com,10.0.255.123,Module,WS-X4648-RJ45V+E,JAE19390156,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 2),
IDF1B-4510-SW1.trtc.com,10.0.255.123,Module,WS-X4648-RJ45V+E,JAE193809KY,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 3),
IDF1B-4510-SW1.trtc.com,10.0.255.123,Module,WS-X4648-RJ45V+E,JAE193809EC,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 4),
IDF1B-4510-SW1.trtc.com,10.0.255.123,Module,WS-X4648-RJ45V+E,JAE1939017W,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 7),
IDF1B-4510-SW1.trtc.com,10.0.255.123,Module,WS-X4648-RJ45V+E,JAE1939015R,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 8),
IDF1B-4510-SW1.trtc.com,10.0.255.123,Module,WS-X4648-RJ45V+E,JAE193901EB,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 9),
IDF1B-4510-SW1.trtc.com,10.0.255.123,Module,WS-X4748-RJ45V+E,CAT1944L1KU,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 10),
IDF1B-4510-SW1.trtc.com,10.0.255.123,Power Supply,PWR-C45-6000ACV,DTM1938055H,Power Supply ( AC 6000W ),Power Supply 1,
IDF1B-4510-SW1.trtc.com,10.0.255.123,Power Supply,PWR-C45-6000ACV,DTM233802UY,Power Supply ( AC 6000W ),Power Supply 2,
IDF1B-4510-SW1.trtc.com,10.0.255.123,Fan,WS-X4582+E,FXS1937Q10W,FanTray,FanTray 1,
IDF1B-4510-SW1.trtc.com,10.0.255.123,SFP/Transceiver,WS-X45-SUP8-E,CAT2012L3UB,"Sup 8-E 10GE (SFP+), 1000BaseX (SFP) with 8 SFP+ Ports",Supervisor(slot 5),
IDF1B-4510-SW1.trtc.com,10.0.255.123,SFP/Transceiver,SFP-10G-SR,FNS20230TWN,SFP-10Gbase-SR,TenGigabitEthernet5/1,
IDF1B-4510-SW1.trtc.com,10.0.255.123,SFP/Transceiver,SFP-10G-SR,FNS20230BHT,SFP-10Gbase-SR,TenGigabitEthernet5/2,
IDF1B-4510-SW1.trtc.com,10.0.255.123,SFP/Transceiver,WS-X45-SUP8-E,CAT1944L2Z4,"Sup 8-E 10GE (SFP+), 1000BaseX (SFP) with 8 SFP+ Ports",Supervisor(slot 6),
IDF1B-4510-SW1.trtc.com,10.0.255.123,SFP/Transceiver,SFP-10G-SR,FNS2023060F,SFP-10Gbase-SR,TenGigabitEthernet6/1,
IDF1B-4510-SW1.trtc.com,10.0.255.123,SFP/Transceiver,SFP-10G-SR,FNS20230BJ8,SFP-10Gbase-SR,TenGigabitEthernet6/2,
IDF1B-4510-SW2.trtc.com,10.0.255.124,Chassis,WS-C4510R+E,FXS2002Q1HM,"Cisco Systems, Inc. WS-C4510R+E 10 slot switch ",Switch System,Standalone
IDF1B-4510-SW2.trtc.com,10.0.255.124,Module,WS-X4748-RJ45V+E,CAT1950L6QP,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 1),
IDF1B-4510-SW2.trtc.com,10.0.255.124,Module,WS-X4748-RJ45V+E,CAT1950L6VV,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 2),
IDF1B-4510-SW2.trtc.com,10.0.255.124,Module,WS-X4748-RJ45V+E,CAT1944L66H,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 3),
IDF1B-4510-SW2.trtc.com,10.0.255.124,Module,WS-X4648-RJ45V+E,JAE193901FH,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 4),
IDF1B-4510-SW2.trtc.com,10.0.255.124,Power Supply,PWR-C45-6000ACV,DTM195103JM,Power Supply ( AC 6000W ),Power Supply 1,
IDF1B-4510-SW2.trtc.com,10.0.255.124,Power Supply,PWR-C45-6000ACV,DTM195103ED,Power Supply ( AC 6000W ),Power Supply 2,
IDF1B-4510-SW2.trtc.com,10.0.255.124,Fan,WS-X4582+E,FXS2002Q1DP,FanTray,FanTray 1,
IDF1B-4510-SW2.trtc.com,10.0.255.124,SFP/Transceiver,WS-X45-SUP8-E,CAT1944L358,"Sup 8-E 10GE (SFP+), 1000BaseX (SFP) with 8 SFP+ Ports",Supervisor(slot 5),
IDF1B-4510-SW2.trtc.com,10.0.255.124,SFP/Transceiver,SFP-10G-SR,AVD2123AN22,SFP-10Gbase-SR,TenGigabitEthernet5/1,
IDF1B-4510-SW2.trtc.com,10.0.255.124,SFP/Transceiver,SFP-10G-SR,AVD2123AN1R,SFP-10Gbase-SR,TenGigabitEthernet5/2,
