Site Name,Circuit Purpose,Status,IP Address,Circuits Table Provider,Circuits Table Speed,Enriched Network Name,Enriched Provider,Enriched Speed,DSR Provider,DSR Speed,Has Meraki Notes,Notes Preview
ARL 04,Secondary,Enabled,108.241.237.49,AT&T Broadband II,300.0M x 300.0M,ARL 04,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Altice West
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
ARL 05,Primary,Enabled,107.140.226.113,AT&T Broadband II,1000.0M x 200.0M,ARL 05,AT&T Broadband II,1000.0M x 200.0M,AT&T Broadband II,1000.0M x 200.0M,Yes,"WAN 1
AT&T Broadband II
1G x 200M
WAN 2
Ritter Communications
250M x 250M..."
ARL 05,Secondary,Enabled,199.38.125.142,Ritter Communications,250.0M x 250.0M,ARL 05,Ritter Communications,250.0M x 250.0M,Ritter Communications,250.0M x 250.0M,Yes,"WAN 1
AT&T Broadband II
1G x 200M
WAN 2
Ritter Communications
250M x 250M..."
ARL 06,Primary,Enabled,66.76.87.145,Altice West,300.0M x 30.0M,ARL 06,Brightspeed,300.0M x 30.0M,Altice West,300.0M x 30.0M,Yes,"WAN 1
Brightspeed
100.0M x 100.0M
WAN 2
Altice West
300.0M x 30.0M..."
ARL 06,Secondary,Enabled,65.57.63.26,Brightspeed,100.0M x 100.0M,ARL 06,Altice West,100.0M x 100.0M,Brightspeed,100.0M x 100.0M,Yes,"WAN 1
Brightspeed
100.0M x 100.0M
WAN 2
Altice West
300.0M x 30.0M..."
ARO 01,Primary,Enabled,174.76.168.174,Cox Business/BOI,300.0M x 30.0M,ARO 01,AT&T Broadband II,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Cox Business/BOI
300.0M x 30.0M..."
ARO 01,Secondary,Enabled,108.252.38.25,AT&T Broadband II,300.0M x 300.0M,ARO 01,Cox Business/BOI,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Cox Business/BOI
300.0M x 30.0M..."
ARO 02,Primary,Enabled,98.187.167.3,Cox Business/BOI,300.0M x 30.0M,ARO 02,AT&T Broadband II,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
ARO 02,Secondary,Enabled,104.3.166.57,AT&T Broadband II,300.0M x 300.0M,ARO 02,Cox Business/BOI,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
ARO 03,Primary,Enabled,104.3.161.209,AT&T Broadband II,500.0M x 100.0M,ARO 03,AT&T Broadband II,500.0M x 100.0M,AT&T Broadband II,500.0M x 100.0M,Yes,"WAN 1
AT&T Broadband II
500.0M x 100.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
ARO 03,Secondary,Enabled,72.196.88.47,Cox Business/BOI,300.0M x 30.0M,ARO 03,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
AT&T Broadband II
500.0M x 100.0M
WAN 2
Cox Business BOI
300.0M x 30.0M..."
ARO 04,Primary,Enabled,98.187.167.138,Cox Business/BOI,300.0M x 30.0M,ARO 04,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
ARO 04,Secondary,Enabled,99.3.51.41,AT&T Broadband II,300.0M x 300.0M,ARO 04,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
ARO 05,Primary,Enabled,207.66.103.214,Yelcot Communications,300.0M x 30.0M,ARO 05,Yelcot Communications,300.0M x 30.0M,Yelcot Communications,300.0M x 30.0M,Yes,"WAN 1
Yelcot Communications
300.0M x 30.0M
WAN 2
Ritter Communications
250.0M x 250.0M..."
ARO 05,Secondary,Enabled,69.195.29.6,Ritter Communications,250.0M x 250.0M,ARO 05,Ritter Communications,250.0M x 250.0M,Ritter Communications,250.0M x 250.0M,Yes,"WAN 1
Yelcot Communications
300.0M x 30.0M
WAN 2
Ritter Communications
250.0M x 250.0M..."
ARO 06,Primary,Enabled,99.11.64.81,AT&T Broadband II,1000.0M x 1000.0M,ARO 06,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
Cox Business BOI
Extended Cable
WAN 2
AT&T Broadband II
100.0M x 100.0M..."
ARO 06,Secondary,Enabled,72.196.89.121,Cox Business/BOI,300.0M x 50.0M,ARO 06,Cox Business/BOI,300.0M x 50.0M,Cox Business/BOI,300.0M x 50.0M,Yes,"WAN 1
Cox Business BOI
Extended Cable
WAN 2
AT&T Broadband II
100.0M x 100.0M..."
AZC 01,Primary,Enabled,68.15.189.118,Cox Business/BOI,300.0M x 30.0M,AZC 01,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZC 01,Secondary,No Service Available,NaN,NSA,,AZC 01,Digi,Cell,,,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZF 01,Primary,Enabled,72.166.76.98,CenturyLink Fiber Plus ,500.0M x 500.0M,AZF 01,DSR CLink Fiber,500.0M x 500.0M,CenturyLink Fiber Plus ,500.0M x 500.0M,Yes,"WAN 1
DSR CLink Fiber
500.0M x 500.0M
WAN 2
Unknown..."
AZF 01,Secondary,No Service Available,NaN,NSA,,AZF 01,Unknown,,,,Yes,"WAN 1
DSR CLink Fiber
500.0M x 500.0M
WAN 2
Unknown..."
AZF 02,Primary,Enabled,NaN,Altice West,500.0M x 50.0M,AZF 02,Altice West,500.0M x 50.0M,Altice West,500.0M x 50.0M,Yes,"WAN 1
Altice West
500.0M x 50.0M
WAN 2
Lightpath
300.0M x 300.0M..."
AZF 02,Secondary,Enabled,207.192.240.178,Lightpath ,300.0M x 300.0M,AZF 02,Lightpath,300.0M x 300.0M,Lightpath ,300.0M x 300.0M,Yes,"WAN 1
Altice West
500.0M x 50.0M
WAN 2
Lightpath
300.0M x 300.0M..."
AZH 01,Primary,Enabled,24.121.227.61,Altice West,500.0M x 50.0M,AZH 01,Optimum,500.0M x 50.0M,Altice West,500.0M x 50.0M,Yes,"WAN 1
Optimum
500.0M x 50.0M
WAN 2
Digi
Cell..."
AZH 01,Secondary,Customer Action Required,NaN,Allo Communications,1000.0M x 1000.0M,AZH 01,Digi,Cell,,,Yes,"WAN 1
Optimum
500.0M x 50.0M
WAN 2
Digi
Cell..."
AZK 01,Primary,Pending Scheduled Deployment,NaN,NaN,,AZK 01,Frontier,1000.0M x 1000.0M,,,Yes,"WAN 1
Frontier
1000.0M x 1000.0M
WAN 2
Allo Communications
500.0M x 500.0M..."
AZK 01,Secondary,Enabled,NaN,Allo Communications,500.0M x 500.0M,AZK 01,Allo Communications,500.0M x 500.0M,Allo Communications,500.0M x 500.0M,Yes,"WAN 1
Frontier
1000.0M x 1000.0M
WAN 2
Allo Communications
500.0M x 500.0M..."
AZM 01,Primary,Enabled,208.90.178.254,Orbitel Communications,300.0M x 300.0M,AZM 01,Orbitel Communications,300.0M x 20.0M,Orbitel Communications,300.0M x 300.0M,Yes,"WAN 1
Orbitel Communications
300.0M x 300.0M
WAN 2
Digi
Cell..."
AZM 01,Secondary,No Service Available,NaN,NSA,,AZM 01,Digi,Cell,,,Yes,"WAN 1
Orbitel Communications
300.0M x 300.0M
WAN 2
Digi
Cell..."
AZN 02,Primary,Enabled,24.117.65.74,EB2-CableOne Cable,300.0M x 30.0M,AZN 02,"CABLE ONE, INC.",300.0M x 30.0M,EB2-CableOne Cable,300.0M x 30.0M,Yes,"WAN 1
CABLE ONE INC.
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZN 02,Secondary,No Service Available,NaN,NSA,100.0M x 10.0M,AZN 02,Digi,Cell,,,Yes,"WAN 1
CABLE ONE INC.
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZN 03,Primary,Enabled,67.60.206.6,Sparklight,300.0M x 30.0M,AZN 03,Sparklight,300.0M x 30.0M,Sparklight,300.0M x 30.0M,Yes,"WAN 1
Sparklight
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZN 03,Secondary,No Service Available,NaN,NSA,300.0M x 50.0M,AZN 03,Digi,Cell,,,Yes,"WAN 1
Sparklight
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZN 04,Primary,Order Cancellation Pending,NaN,EB2-Sparklight Cable,150.0M x 15.0M,AZN 04,Frontier,20.0M x 20.0M,,,Yes,"WAN 1
Frontier
20.0M x 20.0M
WAN 2
Digi
Cell..."
AZN 04,Secondary,Order Canceled,NaN,EB2-CableOne Cable,300.0M x 30.0M,AZN 04,Digi,Cell,,,Yes,"WAN 1
Frontier
20.0M x 20.0M
WAN 2
Digi
Cell..."
AZN 05,Primary,Enabled,69.171.123.138,TransWorld,500.0M x 500.0M,AZN 05,TransWorld,500.0M x 500.0M,TransWorld,500.0M x 500.0M,Yes,"WAN 1
TransWorld
500.0M x 500.0M
WAN 2
VZW Cell
Cell..."
AZN 05,Secondary,Order Canceled,NaN,NSA,,AZN 05,VZW Cell,Cell,,,Yes,"WAN 1
TransWorld
500.0M x 500.0M
WAN 2
VZW Cell
Cell..."
AZN 06,Primary,Enabled,159.118.232.190,Sparklight,300.0M x 30.0M,AZN 06,Sparklight,300.0M x 30.0M,Sparklight,300.0M x 30.0M,Yes,"WAN 1
Sparklight
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZN 06,Secondary,No Service Available,NaN,NSA ,,AZN 06,Verizon Business,Cell,,,Yes,"WAN 1
Sparklight
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
