site_id,site_name,primary_provider,primary_ip,primary_bandwidth
CAL 28,CAL 28,Spectrum,137.27.238.234,600.0M x 35.0M
CAL 31,CAL 31,Spectrum,76.80.189.186,600.0M x 35.0M
CAL 33,CAL 33,Comcast Workplace,23.24.207.137,600.0M x 35.0M
CAL 35,CAL 35,Spectrum,47.46.116.98,600.0M x 35.0M
CAL 37,CAL 37,Spectrum,144.129.44.198,600.0M x 35.0M
CAL 38,CAL 38,Spectrum,71.95.197.18,300.0M x 20.0M
CAL 40,CAL 40,AT&T Broadband II,104.183.137.49,1000.0M x 200.0M
CAL 41,CAL 41,Spectrum,45.59.236.50,940.0M x 35.0M
CAL 42,CAL 42,AT&T Broadband II,107.200.251.9,1000.0M x 1000.0M
CAL 43,CAL 43,Spectrum,68.189.120.98,600.0M x 35.0M
CAL 44,CAL 44,Spectrum,24.199.12.162,600.0M x 35.0M
CAL 46,CAL 46,EB2-Frontier Fiber,47.180.63.69,500.0M x 500.0M
CAL 47,CAL 47,One Ring Networks ,72.34.92.210,300.0M x 30.0M
CAL 48,CAL 48,Cox Business/BOI,98.173.25.45,300.0M x 30.0M
CAL 49,CAL 49,AT&T Broadband II,104.4.217.33,1000.0M x 1000.0M
CAL 50,CAL 50,EB2-Frontier Fiber,47.180.4.158,500.0M x 500.0M
CALW01,CALW01,EB2-Frontier Fiber,47.178.4.124,1000.0M x 1000.0M
CAN00,CAN00,Comcast Workplace,96.81.183.205,250.0M x 25.0M
CAN 02,CAN 02,AT&T Broadband II,23.118.223.49,1000.0M x 1000.0M
CAN 03,CAN 03,Comcast Workplace,50.196.146.221,600.0M x 35.0M
CAN 04,CAN 04,Comcast Workplace,96.76.217.185,250.0M x 25.0M
CAN 05,CAN 05,Comcast Workplace,50.209.152.21,600.0M x 35.0M
CAN 07,CAN 07,Comcast Workplace,75.147.239.149,600.0M x 35.0M
CAN 10,CAN 10,Comcast Workplace,96.71.242.65,600.0M x 35.0M
CAN 11,CAN 11,Comcast Workplace,173.13.137.81,600.0M x 35.0M
CAN 12,CAN 12,Etheric Networks,204.11.231.174,10.0M x 10.0M
CAN 13,CAN 13,Comcast Workplace,50.250.224.109,250.0M x 25.0M
CAN 14,CAN 14,Comcast Workplace,50.208.43.185,250.0M x 25.0M
CAN 15,CAN 15,AT&T Broadband II,45.19.142.201,300.0M x 75.0M
CAN 18,CAN 18,AT&T Broadband II,162.198.215.73,1000.0M x 200.0M
CAN 19,CAN 19,Spectrum,68.189.91.250,600.0M x 35.0M
CAN 20 -B,CAN 20,Consolidated Communications,207.183.228.254,300.0M x 300.0M
CAN 21,CAN 21,Comcast Workplace,173.11.79.109,600.0M x 35.0M
CAN 22,CAN 22,Vista Broadband,206.176.254.42,15.0M x 15.0M
CAN 23,CAN 23,Comcast Workplace,173.8.170.141,600.0M x 35.0M
CAN 24,CAN 24,Comcast Workplace,96.81.191.61,600.0M x 35.0M
CAN 26,CAN 26,Comcast Workplace,50.73.61.21,300.0M x 30.0M
CAN 28,CAN 28,Comcast Workplace,96.71.202.17,600.0M x 35.0M
CAN 29,CAN 29,AT&T Broadband II,162.225.215.225,1000.0M x 1000.0M
CAN 30- B,CAN 30,AT&T Broadband II,75.18.222.33,1000.0M x 1000.0M
CAN 31,CAN 31,Comcast Workplace,75.144.244.65,300.0M x 30.0M
CAN 32,CAN 32,AT&T Broadband II,104.4.77.193,1000.0M x 1000.0M
CAN 33,CAN 33,Comcast Workplace,50.255.1.161,600.0M x 35.0M
CAN 34,CAN 34,Comcast Workplace,23.24.222.45,300.0M x 30.0M
CAN 36,CAN 36,Spectrum,24.180.12.122,600.0M x 35.0M
CAN 37,CAN 37,Comcast Workplace,162.17.80.189,600.0M x 35.0M
CAN 38,CAN 38,AT&T Broadband II,108.251.54.65,2000.0M x 2000.0M
CAN 39,CAN 39,Astound,76.14.161.29,1000.0M x 20.0M
CAN 41,CAN 41,Comcast Workplace,50.211.212.13,600.0M x 35.0M
CAN 42,CAN 42,Comcast Workplace,96.71.204.201,300.0M x 30.0M
CAN 43,CAN 43,AT&T Broadband II,45.26.112.129,300.0M x 75.0M
CAN 44,CAN 44,Comcast Workplace,173.10.12.149,200.0M x 20.0M
CAN 45 -B,CAN 45,AT&T Broadband II,45.16.98.121,300.0M x 300.0M
CAN 46,CAN 46,AT&T Broadband II,162.225.210.97,1000.0M x 1000.0M
CAN 47,CAN 47,Comcast Workplace,71.27.121.133,300.0M x 30.0M
CAN 48,CAN 48,Spectrum,71.92.248.190,600.0M x 35.0M
