Site Name,WAN Port,Provider,Speed,Circuit Role,Confirmed,Speed Status,Device Tags,Last Updated
UTS 02,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS 02,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS 07,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
UTS 07,WAN2,DSR Lumen DSL,80.0M x 10.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
UTS 11,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
UTS 11,WAN2,Centracom,300.0M x 30.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
UTS 15,WAN1,Comcast,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS 15,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS 16,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
UTS 16,WAN2,DSR CLink,100.0M x 10.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
UTS 17,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS 17,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS 19,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS 19,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS 26,WAN1,Infowest Inc,250.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.643362
UTS 26,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 18:58:22.643362
UTS W01,WAN1,Comcast,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS W01,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS W02,WAN1,DSR Comcast Cable,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS W02,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
VAF 01 - appliance,WAN1,Comcast,250.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
VAF 01 - appliance,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
VAR 01,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
VAR 01,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
VAR_00,WAN1,Comcast,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
VAR_00,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAE 01,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAE 01,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAE 02,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAE 02,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS 09,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS 09,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS 11,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS 11,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS 14,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS 14,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS 23,WAN1,ComcastAgg CLink,10.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS 23,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS W00,WAN1,Comcast,200.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS W00,WAN2,Digi Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WDTD 01,WAN1,AT&T,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WDTD 01,WAN2,ATT,100.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
