site_name,circuit_purpose,provider_name,speed_original,speed_corrected,ip_address,arin_provider,wan_interface,source,status,last_updated,needs_speed_fix,billing_monthly_cost,contract_start_date,contract_term,early_termination_fee
ILC 42,Secondary,VZW Cell,Cell,Cell,166.168.180.169,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILC 43,Primary,"Comcast Cable Communications, LLC",,,50.77.166.229,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILC 43,Secondary,VZW Cell,Cell,Cell,166.168.184.46,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILC 44,Primary,Static pool - Cinergy MetroNet,,,217.180.239.153,Metronet,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILC 44,Secondary,VZW Cell,Cell,Cell,166.151.178.22,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILC 45,Primary,"Comcast Cable Communications, LLC",,,96.84.93.81,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILC 45,Secondary,VZW Cell,Cell,Cell,166.248.7.243,Verizon,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILC 46,Primary,"Comcast Cable Communications, LLC",,,96.70.60.26,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILC 46,Secondary,VZW Cell,Cell,Cell,166.253.101.118,Verizon,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILR 01,Primary,Comcast,600.0 M,600.0M x 35.0M,74.94.116.73,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
INI_00,Primary,DSR Cincinnati Bell ADSL,400.0 M,400.0M x 200.0M,66.42.186.206,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
INI_00,Secondary,Charter Communications,600.0 M,600.0M x 35.0M,71.66.89.90,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
INI W01,Primary,"Comcast Cable Communications, LLC",,,50.195.198.237,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
INI W01,Secondary,Private Customer - AT&T Internet Services,,,99.33.34.9,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
INW 02,Primary,Comcast,300.0 M,300.0M x 35.0M,96.72.115.9,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
INW 02,Secondary,Digi,Cell,Cell,107.85.135.19,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
KSK_00,Primary,Charter Communications,600.0 M,600.0M x 35.0M,150.220.245.70,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
KSK_00,Secondary,AT&T,300.0 M,300.0M x 300.0M,76.201.157.129,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MID W00,Primary,DSR - MIHW00,,,173.167.236.165,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MIF 05,Primary,Comcast,300.0 M,300.0M x 35.0M,96.76.231.33,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MIF 05,Secondary,VZW Cell,Cell,Cell,166.246.93.149,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MIG 25,Primary,Comcast,,,96.76.237.21,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MIG 25,Secondary,VZW Cell,Cell,Cell,166.163.165.215,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MNM 02,Primary,Comcast,300.0 M,300.0M x 30.0M,96.75.157.169,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MNM 02,Secondary,Starlink,Satellite,Satellite,143.105.57.230,"SpaceX Services, Inc.",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MNM 03,Primary,Comcast,300.0 M,300.0M x 30.0M,96.75.153.5,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MNM 03,Secondary,VZW Cell,Cell,Cell,166.180.46.137,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MNM 09,Primary,DSR Comcast,750.0 M,750.0M x 35.0M,73.228.210.242,"Comcast IP Services, L.L.C.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MNM 09,Secondary,Digi,Cell,Cell,107.80.171.26,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MNM 11,Primary,Comcast,300.0 M,300.0M x 35.0M,96.75.149.153,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MNM 11,Secondary,VZW Cell,Cell,Cell,166.180.159.153,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MNM 24,Primary,Comcast,300.0 M,300.0M x 30.0M,96.72.38.153,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MNM 24,Secondary,Verizon Business,Cell,Cell,166.180.159.110,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MNM 25,Primary,ComcastAgg,,,73.94.13.48,"Comcast IP Services, L.L.C.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MNM 25,Secondary,Verizon Business,Cell,Cell,166.246.93.76,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MNM 29,Primary,Comcast,300.0 M,300.0M x 30.0M,96.75.159.233,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MNM 29,Secondary,Verizon Business,Cell,Cell,166.246.93.68,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MNM W01,Primary,Comcast,,,50.211.20.237,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MOO 01,Primary,ComcastAgg CableOne,300.0 M,300.0M x 35.0M,24.119.128.250,"CABLE ONE, INC.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MOO 01,Secondary,Digi,Cell,Cell,107.127.155.138,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MOO 04,Primary,Level 3,300.0 M,300.0M x 300.0M,4.35.182.162,Level 3,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
MOO 04,Secondary,Verizon,Cell,Cell,63.43.232.131,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MOSW 01,Primary,arco trucking08162011143812942,,,108.192.139.225,AT&T,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
MOSW 01,Secondary,Charter Communications LLC,,,47.50.140.114,Charter Communications,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
Mt. Prospect Voice,Primary,AT&T BVOIP Asset ID IZEC561522ATI,,,208.83.9.194,CenturyLink,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NCC_00,Primary,Charter Communications,600.0 M,600.0M x 35.0M,66.57.166.218,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
NMA_00,Primary,Comcast,300.0 M,300.0M x 30.0M,96.64.151.241,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
NMA_00,Secondary,CenturyLink,100.0 M,100.0M x 10.0M,168.103.98.137,CenturyLink,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
NMA 10,Primary,Comcast,300.0 M,300.0M x 35.0M,96.77.22.185,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
